,ts_start,ts_end,nodeid,iccid,total_measurement_duration,dl_test_duration,imsimccmnc,nwmccmnc,cid_changes,enodebid_changes,devicemode_changes,devicesubmode_changes,rsrp_changes,rssi_changes,lac_changes,min_rsrp,max_rsrp,median_rsrp,min_rssi,max_rssi,median_rssi,hour_of_day,day_of_week,res_dl_kbps
166,1500682636,1500682680,228,8947080037000370261,44,15.407114744186401,24202,24202,0,0,0,0,0,1,0,-106.0,-106.0,-106.0,-80,-77,-78.5,0,5,7919.155967000001
167,1503360976,1503361004,228,8947080037000370261,28,10.308463096618652,24202,24202,0,0,0,0,1,1,0,-105.0,-104.0,-104.5,-78,-74,-76.0,0,1,10608.973997
168,1503123375,1503123401,228,8947080037000370261,26,10.697347164154053,24202,24202,0,0,0,0,0,1,0,-84.0,-84.0,-84.0,-59,-54,-54.0,6,5,52054.243035
169,1516226469,1516226497,228,8947080037000370261,28,11.133046388626099,24202,24202,0,0,0,0,0,1,0,-100.0,-100.0,-100.0,-72,-70,-72.0,22,2,3782.205759904848
170,1516744871,1516744898,228,8947080037000370261,27,10.404477834701536,24202,24202,0,0,0,0,0,1,0,-88.0,-88.0,-88.0,-63,-61,-62.0,22,1,19872.573048583377
171,1514757674,1514757701,228,8947080037000370261,27,10.331613779067991,24202,24202,0,0,0,0,0,1,0,-99.0,-99.0,-99.0,-72,-68,-70.0,22,6,24432.10435257216
172,1516248069,1516248095,228,8947080037000370261,26,10.562770128250124,24202,24202,0,0,0,0,0,1,0,-94.0,-94.0,-94.0,-65,-62,-63.5,4,3,19363.899217196227
173,1517569265,1517569292,228,8947080037000370261,27,10.876707077026367,24202,24202,0,0,0,0,1,1,0,-90.0,-89.0,-89.5,-62,-58,-60.0,11,4,25130.026146763452
174,1516593670,1516593696,228,8947080037000370261,26,10.135444164276123,24202,24202,0,0,0,0,0,1,0,-87.0,-87.0,-87.0,-61,-57,-57.0,4,0,28587.34052764897
175,1499386636,1499386664,228,8947080037000370261,28,11.06414794921875,24202,24202,0,0,0,0,0,1,0,-96.0,-96.0,-96.0,-72,-69,-69.0,0,4,19402.657454
176,1499321962,1499322001,228,8947080037000370261,39,13.129833459854126,24202,24202,0,0,0,0,0,3,0,,,,-96,-94,-95.0,6,3,6879.37616
177,1499408236,1499408263,228,8947080037000370261,27,10.573291063308718,24202,24202,0,0,0,0,1,3,0,-97.0,-94.0,-97.0,-73,-66,-70.0,6,4,15652.494725
