,ts_start,ts_end,nodeid,iccid,total_measurement_duration,dl_test_duration,imsimccmnc,nwmccmnc,cid_changes,enodebid_changes,devicemode_changes,devicesubmode_changes,rsrp_changes,rssi_changes,lac_changes,min_rsrp,max_rsrp,median_rsrp,min_rssi,max_rssi,median_rssi,hour_of_day,day_of_week,res_dl_kbps
97,1502388980,1502389008,206,89460120151010468094,28,11.269557237625122,24001,24202,0,0,0,0,0,0,0,-65.0,-65.0,-65.0,-38,-38,-38.0,18,3,34375.187382
98,1500272341,1500272371,228,89470000160204126016,30,11.011561632156372,24201,24201,0,0,0,0,0,1,0,-97.0,-97.0,-97.0,-70,-67,-68.5,6,0,32542.607560000004
99,1500574689,1500574719,228,89470000160204126016,30,12.939297676086426,24201,24201,0,0,0,0,2,2,0,-87.0,-85.0,-87.0,-63,-58,-62.0,18,3,14955.462587
100,1500229117,1500229146,228,89470000160204126016,29,11.291565418243408,24201,24201,0,0,0,0,0,1,0,-90.0,-90.0,-90.0,-62,-60,-61.0,18,6,73613.914249
101,1501546575,1501546609,228,89470000160204126016,34,12.507853031158447,24201,24201,0,0,0,0,0,0,0,-99.0,-99.0,-99.0,-72,-72,-72.0,0,1,12821.526440000001
103,1499386681,1499386709,228,89470000160204126016,28,11.254361152648926,24201,24201,0,0,0,0,1,0,0,-104.0,-103.0,-103.5,-74,-74,-74.0,0,4,29846.999669
157,1517612472,1517612509,228,8947080037000370261,37,10.174863576889036,24202,24202,0,0,0,0,0,2,0,-107.0,-107.0,-107.0,-84,-80,-82.0,23,4,38695.206147759964
159,1516636876,1516636904,228,8947080037000370261,28,11.79066801071167,24202,24202,0,0,0,0,0,1,0,-88.0,-88.0,-88.0,-65,-61,-61.0,16,0,21074.035005188758
192,1502712976,1502713019,228,8947080037000370261,43,10.42868947982788,24202,24202,0,0,0,0,1,0,0,-106.0,-105.0,-105.5,-78,-78,-78.0,12,0,11732.931156
198,1516917673,1516917717,228,8947080037000370261,44,11.108884811401367,24202,24202,0,0,0,0,1,1,0,-99.0,-98.0,-98.0,-73,-71,-73.0,22,3,7451.458354716125
206,1516312870,1516312896,228,8947080037000370261,26,10.225589752197266,24202,24202,0,0,0,0,2,2,0,-90.0,-82.0,-84.0,-65,-60,-63.0,22,3,20665.959404122645
207,1516788070,1516788096,228,8947080037000370261,26,10.35099959373474,24202,24202,0,0,0,0,0,1,0,-86.0,-86.0,-86.0,-63,-60,-60.0,10,2,19782.78594127394
242,1504260184,1504260209,254,89470000160204126347,25,10.173485517501833,24201,24201,0,0,0,0,0,2,0,-95.0,-95.0,-95.0,-68,-64,-67.0,10,4,20137.38784
243,1514355412,1514355443,254,89470000160204126347,31,13.093722820281982,24201,24201,0,0,0,0,0,0,0,-88.0,-88.0,-88.0,-61,-61,-61.0,6,2,12505.833608251578
244,1500164286,1500164343,254,89470000160204126347,57,12.87121868133545,24201,24201,0,0,0,0,1,1,0,-105.0,-104.0,-104.0,-78,-75,-78.0,0,6,6840.225698
249,1503447430,1503447457,254,89470000160204126347,27,11.544838428497314,24201,24201,0,0,0,0,0,1,0,-78.0,-78.0,-78.0,-55,-51,-51.0,0,2,29216.010481999998
256,1516939320,1516939346,254,89470000160204126347,26,10.174936771392822,24201,24201,0,0,0,0,1,2,0,-95.0,-94.0,-94.0,-68,-65,-66.0,4,4,31260.958928682798
257,1516420926,1516420953,254,89470000160204126347,27,10.702571868896484,24201,24201,0,0,0,0,0,1,0,-90.0,-90.0,-90.0,-65,-63,-64.0,4,5,17509.141030663042
278,1501330740,1501330777,254,89470000160204126347,37,13.644387483596802,24201,24201,1,0,0,0,0,3,0,,,,-97,-89,-96.0,12,5,9490.472211
292,1500185894,1500185932,254,89470000160204126347,38,12.851304054260256,24201,24201,0,0,0,0,0,2,0,,,,-93,-90,-93.0,6,6,13740.866702000001
293,1504281796,1504281821,254,89470000160204126347,25,10.117964982986448,24201,24201,0,0,0,0,0,1,0,-95.0,-95.0,-95.0,-69,-65,-69.0,16,4,19067.392403
294,1503598629,1503598660,254,89470000160204126347,31,13.624016761779785,24201,24201,0,0,0,0,0,1,0,-92.0,-92.0,-92.0,-65,-62,-62.0,18,3,12315.418685999999
295,1516485719,1516485753,254,89470000160204126347,34,11.061439275741577,24201,24201,0,0,0,0,0,0,0,-92.0,-92.0,-92.0,-64,-64,-64.0,22,5,12318.549504295195
296,1514441834,1514441861,254,89470000160204126347,27,11.330316305160522,24201,24201,1,0,0,0,2,0,0,-111.0,-107.0,-109.5,-77,-77,-77.0,6,3,19803.798654142538
297,1516528917,1516528946,254,89470000160204126347,29,12.402473211288452,24201,24201,0,0,0,0,0,0,0,-92.0,-92.0,-92.0,-65,-65,-65.0,10,6,8979.53424749636
298,1499948314,1499948341,254,89470000160204126347,27,10.216368198394775,24201,24201,0,0,0,0,0,1,0,-97.0,-97.0,-97.0,-70,-67,-70.0,12,3,11848.289436
299,1516593729,1516593773,254,89470000160204126347,44,11.722646474838257,24201,24201,0,0,0,0,0,0,0,-95.0,-95.0,-95.0,-67,-67,-67.0,4,0,14799.503101149205
300,1500812368,1500812406,254,89470000160204126347,38,12.164440870285034,24201,24201,0,0,0,0,0,3,0,,,,-88,-78,-86.0,12,6,9170.736970999998
301,1503577022,1503577049,254,89470000160204126347,27,11.118003606796265,24201,24201,0,0,0,0,0,0,0,-92.0,-92.0,-92.0,-62,-62,-62.0,12,3,29663.960231999998
302,1517068919,1517068947,254,89470000160204126347,28,12.147010087966919,24201,24201,0,0,0,0,0,1,0,-97.0,-97.0,-97.0,-70,-67,-67.0,16,5,23941.06297594016
303,1516356118,1516356145,254,89470000160204126347,27,10.919189453125,24201,24201,0,0,0,0,1,1,0,-108.0,-107.0,-107.5,-77,-75,-76.0,10,4,18794.21686689859
304,1503404222,1503404250,254,89470000160204126347,28,11.32735562324524,24201,24201,0,0,0,0,2,1,0,-91.0,-90.0,-90.5,-62,-60,-60.0,12,1,52924.631029000004
305,1501913824,1501913853,254,89470000160204126347,29,12.047540426254272,24201,24201,0,0,0,0,0,0,0,-83.0,-83.0,-83.0,-56,-56,-56.0,6,5,17816.206113999997
306,1502864246,1502864274,254,89470000160204126347,28,11.255368947982788,24201,24201,0,0,0,0,1,0,0,-69.0,-68.0,-68.0,-44,-44,-44.0,6,2,10081.015123000001
307,1516377726,1516377757,254,89470000160204126347,31,11.407753467559814,24201,24201,0,0,0,0,1,0,0,-109.0,-108.0,-108.5,-75,-75,-75.0,16,4,14481.479231666604
308,1500617889,1500617926,254,89470000160204126347,37,11.775463581085205,24201,24201,0,0,0,0,0,0,0,,,,-81,-81,-81.0,6,4,15598.816615
309,1501373903,1501373932,254,89470000160204126347,29,11.288581609725952,24201,24201,0,0,0,0,0,0,0,-107.0,-107.0,-107.0,-76,-76,-76.0,0,6,35081.503917
310,1515945727,1515945766,254,89470000160204126347,39,17.672353267669674,24201,24201,0,0,0,0,0,0,0,-91.0,-91.0,-91.0,-62,-62,-62.0,16,6,3775.734850087639
311,1516075345,1516075377,254,89470000160204126347,32,10.920358180999756,24201,24201,0,0,0,0,0,1,0,-93.0,-93.0,-93.0,-69,-66,-67.5,4,1,24788.031688874584
312,1515924119,1515924148,254,89470000160204126347,29,11.132296323776245,24201,24201,0,0,0,0,1,1,0,-111.0,-110.0,-110.5,-79,-77,-78.0,10,6,9690.289727961559
313,1501395485,1501395514,254,89470000160204126347,29,12.026647567749025,24201,24201,0,0,0,0,0,0,0,-84.0,-84.0,-84.0,-58,-58,-58.0,6,6,16767.396528999998
324,1516680114,1516680152,254,89470000160204126347,38,11.769450902938845,24201,24201,0,0,0,0,0,0,0,-116.0,-116.0,-116.0,-80,-80,-80.0,4,1,11045.360826704538
325,1502259471,1502259498,254,89470000160204126347,27,10.83672571182251,24201,24201,0,0,0,0,1,1,0,-94.0,-93.0,-93.5,-67,-63,-65.0,6,2,47293.075095
326,1504346583,1504346609,254,89470000160204126347,26,10.248837709426882,24201,24201,0,0,0,0,0,0,0,-95.0,-95.0,-95.0,-65,-65,-65.0,10,5,12217.245621
327,1504497798,1504497824,254,89470000160204126347,26,10.172248363494873,24201,24201,0,0,0,0,0,1,0,-96.0,-96.0,-96.0,-70,-66,-68.0,4,0,18522.186295
328,1499969894,1499969920,254,89470000160204126347,26,10.28657364845276,24201,24201,0,0,0,0,1,2,0,-97.0,-96.0,-97.0,-70,-67,-69.0,18,3,11225.893920999999
329,1516507317,1516507353,254,89470000160204126347,36,12.45195245742798,24201,24201,0,0,0,0,0,1,0,-92.0,-92.0,-92.0,-67,-65,-66.0,4,6,15443.699822798711
330,1514333812,1514333841,254,89470000160204126347,29,11.634042739868164,24201,24201,0,0,0,0,0,1,0,-107.0,-107.0,-107.0,-77,-75,-76.0,0,2,15019.663505112656
331,1502000232,1502000279,254,89470000160204126347,47,12.60284423828125,24201,24201,0,0,0,0,1,1,0,-107.0,-106.0,-106.0,-79,-77,-79.0,6,6,8868.532084
332,1500077888,1500077915,254,89470000160204126347,27,10.202014446258543,24201,24201,0,0,0,0,0,0,0,-96.0,-96.0,-96.0,-69,-69,-69.0,0,5,17719.466629
333,1504433024,1504433069,254,89470000160204126347,45,14.260721206665039,24201,24201,0,0,0,0,0,1,0,-110.0,-110.0,-110.0,-80,-78,-79.0,10,6,3719.495489
334,1517090513,1517090539,254,89470000160204126347,26,10.62524390220642,24201,24201,0,0,0,0,0,1,0,-96.0,-96.0,-96.0,-69,-66,-67.5,22,5,34941.329792089826
335,1502237910,1502237942,254,89470000160204126347,32,11.375075578689575,24201,24201,0,0,0,0,0,1,0,-94.0,-94.0,-94.0,-67,-63,-65.0,0,2,43955.259217
336,1502497026,1502497053,254,89470000160204126347,27,10.25089406967163,24201,24201,0,0,0,0,1,1,0,-106.0,-105.0,-105.5,-77,-75,-76.0,0,5,17266.167659
337,1500056286,1500056312,254,89470000160204126347,26,10.221042394638063,24201,24201,0,0,0,0,1,0,0,-97.0,-96.0,-96.5,-70,-70,-70.0,18,4,17741.376501
338,1503555427,1503555456,254,89470000160204126347,29,13.164637088775635,24201,24201,0,0,0,0,0,1,0,-92.0,-92.0,-92.0,-65,-62,-65.0,6,3,29686.397133
339,1504368187,1504368214,254,89470000160204126347,27,10.207029819488524,24201,24201,0,0,0,0,0,1,0,-95.0,-95.0,-95.0,-70,-68,-68.0,16,5,12977.378486
340,1517025719,1517025745,254,89470000160204126347,26,11.125853061676024,24201,24201,0,0,0,0,0,1,0,-97.0,-97.0,-97.0,-70,-66,-66.0,4,5,42485.59495158166
343,1514377016,1514377053,254,89470000160204126347,37,13.695708751678467,24201,24201,0,0,0,0,1,1,0,-109.0,-108.0,-108.0,-79,-76,-76.0,12,2,14744.022116249593
344,1517569314,1517569341,254,89470000160204126347,27,11.201738595962524,24201,24201,0,0,0,0,0,2,0,-93.0,-93.0,-93.0,-66,-61,-62.0,11,4,28849.291719294757
345,1520118170,1520118197,254,89470000160204126347,27,11.252026319503784,24201,24201,0,0,0,0,0,1,0,-92.0,-92.0,-92.0,-65,-62,-65.0,23,5,33820.64386706483
346,1504519415,1504519441,254,89470000160204126347,26,10.244229555130003,24201,24201,0,0,0,0,0,0,0,-96.0,-96.0,-96.0,-69,-69,-69.0,10,0,12354.055811
347,1516572114,1516572143,254,89470000160204126347,29,12.44166111946106,24201,24201,0,0,0,0,1,0,0,-108.0,-107.0,-107.5,-76,-76,-76.0,22,6,12585.958631512498
348,1520053370,1520053395,254,89470000160204126347,25,10.177644968032835,24201,24201,0,0,0,0,0,2,0,-92.0,-92.0,-92.0,-66,-62,-64.0,5,5,51218.67607423458
349,1503620232,1503620259,254,89470000160204126347,27,11.158802032470703,24201,24201,0,0,0,0,0,1,0,-92.0,-92.0,-92.0,-65,-61,-61.0,0,4,65874.303245
350,1499883488,1499883514,254,89470000160204126347,26,10.160086393356325,24201,24201,0,0,0,0,1,0,0,-98.0,-97.0,-97.0,-69,-69,-69.0,18,2,19899.899227
351,1516399327,1516399356,254,89470000160204126347,29,10.971018314361572,24201,24201,0,0,0,0,0,1,0,-109.0,-109.0,-109.0,-76,-73,-74.5,22,4,11358.268232590864
352,1516550519,1516550548,254,89470000160204126347,29,11.999571084976196,24201,24201,0,0,0,0,0,1,0,-92.0,-92.0,-92.0,-67,-64,-64.0,16,6,12147.65094721264
353,1500358768,1500358804,254,89470000160204126347,36,13.298678398132324,24201,24201,0,0,0,0,2,1,0,-77.0,-70.0,-74.0,-48,-43,-48.0,6,1,9257.395693999999
