,ts_start,ts_end,nodeid,iccid,total_measurement_duration,dl_test_duration,imsimccmnc,nwmccmnc,cid_changes,enodebid_changes,devicemode_changes,devicesubmode_changes,rsrp_changes,rssi_changes,lac_changes,min_rsrp,max_rsrp,median_rsrp,min_rssi,max_rssi,median_rssi,hour_of_day,day_of_week,res_dl_kbps
923,1515664867,1515664902,290,89470000160204125984,35,11.757681608200073,24201,24201,0,0,0,0,0,0,0,-102.0,-102.0,-102.0,-72,-72,-72.0,10,3,2635.0126667233226
924,1505966533,1505966559,290,89470000160204125984,26,10.18307876586914,24201,24201,0,0,0,0,0,0,0,-72.0,-72.0,-72.0,-47,-47,-47.0,4,3,16563.12677
925,1499149029,1499149073,290,89470000160204125984,44,17.07864546775818,24201,24201,0,0,0,0,3,2,0,-103.0,-100.0,-102.0,-73,-70,-71.0,6,1,3040.790555
934,1501870578,1501870621,290,89470000160204125984,43,12.87899899482727,24201,24201,0,0,0,0,0,4,0,,,,-110,-98,-103.0,18,4,2476.240893
947,1506506533,1506506563,290,89470000160204125984,30,13.532821416854858,24201,24201,0,0,0,0,1,2,0,-84.0,-76.0,-76.0,-54,-48,-54.0,10,2,13210.337368999999
948,1503166579,1503166640,290,89470000160204125984,61,12.857996940612793,24201,24201,0,0,0,0,0,0,0,-104.0,-104.0,-104.0,-73,-73,-73.0,18,5,3438.147954
950,1502756169,1502756203,290,89470000160204125984,34,13.651047229766846,24201,24201,0,0,0,0,1,2,0,-103.0,-101.0,-103.0,-75,-71,-71.0,0,1,5717.7092729999995
951,1502950575,1502950606,290,89470000160204125984,31,13.575971126556395,24201,24201,0,0,0,0,1,0,0,-88.0,-87.0,-87.5,-59,-59,-59.0,6,3,9593.967339
983,1500855433,1500855467,290,89470000160204125984,34,11.446334600448608,24201,24201,0,0,0,0,0,2,0,,,,-91,-84,-86.5,0,0,15385.63316
1039,1516291268,1516291296,290,89470000160204125984,28,12.008399963378904,24201,24201,0,0,0,0,1,1,0,-101.0,-100.0,-101.0,-72,-70,-71.0,16,3,5825.82192610818
1040,1502302569,1502302609,290,89470000160204125984,40,15.191158771514893,24201,24201,0,0,0,0,0,0,0,-106.0,-106.0,-106.0,-74,-74,-74.0,18,2,3903.617432
1044,1516399267,1516399293,290,89470000160204125984,26,10.45852065086365,24201,24201,1,0,0,0,1,1,0,-80.0,-78.0,-80.0,-54,-51,-52.5,22,4,9214.791559999852
1045,1506484946,1506484976,290,89470000160204125984,30,14.164186000823975,24201,24201,0,0,0,0,0,0,0,-94.0,-94.0,-94.0,-64,-64,-64.0,4,2,8508.382493000001
1049,1500877029,1500877059,290,89470000160204125984,30,12.26767611503601,24201,24201,0,0,0,0,0,0,0,-82.0,-82.0,-82.0,-55,-55,-55.0,6,0,14783.060516
1050,1506982392,1506982424,290,89470000160204125984,32,14.276494264602661,24201,24201,0,0,0,0,0,2,0,-97.0,-97.0,-97.0,-69,-66,-66.0,22,0,7375.973865000001
1081,1502928973,1502929015,290,89470000160204125984,42,15.563711404800415,24201,24201,0,0,0,0,2,2,0,-102.0,-100.0,-101.0,-74,-70,-72.0,0,3,9588.447103
1085,1505253737,1505253786,290,89470000160204125984,49,13.113993167877195,24201,24201,0,0,0,0,0,3,0,,,,-117,-105,-108.0,22,1,1461.499608
1086,1502907370,1502907410,290,89470000160204125984,40,11.0424165725708,24201,24201,0,0,0,0,0,1,0,-110.0,-110.0,-110.0,-81,-78,-79.5,18,2,20486.043150999998
1136,1506896000,1506896036,290,89470000160204125984,36,10.184452295303343,24201,24201,0,0,0,0,0,1,0,-110.0,-110.0,-110.0,-82,-79,-80.5,22,6,25785.15096
1137,1500833833,1500833872,290,89470000160204125984,39,13.928734064102173,24201,24201,0,0,0,0,0,1,0,-99.0,-99.0,-99.0,-73,-71,-72.0,18,6,6544.600461
1147,1500272228,1500272259,290,89470000160204125984,31,12.943652391433716,24201,24201,0,0,0,0,0,0,0,-104.0,-104.0,-104.0,-74,-74,-74.0,6,0,6927.8707939999995
1148,1499235428,1499235465,290,89470000160204125984,37,13.951227188110352,24201,24201,0,0,0,0,1,1,0,-105.0,-104.0,-105.0,-76,-74,-74.0,6,2,4304.526845
1149,1501589774,1501589804,290,89470000160204125984,30,11.551949262619019,24201,24201,1,0,0,0,3,3,0,-96.0,-86.0,-94.0,-68,-57,-66.0,12,1,9341.171286
1668,1500509943,1500509973,292,89470000160204126024,30,11.330283880233765,24201,24201,0,0,0,0,0,0,0,,,,-82,-82,-82.0,0,3,13774.035749
1669,1502324229,1502324256,292,89470000160204126024,27,11.03349757194519,24201,24201,0,0,0,0,0,1,0,-84.0,-84.0,-84.0,-59,-57,-58.0,0,3,26085.623749000002
1686,1517090525,1517090562,292,89470000160204126024,37,11.015872955322266,24201,24201,0,0,0,0,0,1,0,-110.0,-110.0,-110.0,-82,-79,-80.5,22,5,21122.67918905017
1687,1499127495,1499127525,292,89470000160204126024,30,13.222850561141968,24201,24201,0,0,0,0,0,1,0,-100.0,-100.0,-100.0,-76,-72,-74.0,0,1,9561.406334000001
