,ts_start,ts_end,nodeid,iccid,total_measurement_duration,dl_test_duration,imsimccmnc,nwmccmnc,cid_changes,enodebid_changes,devicemode_changes,devicesubmode_changes,rsrp_changes,rssi_changes,lac_changes,min_rsrp,max_rsrp,median_rsrp,min_rssi,max_rssi,median_rssi,hour_of_day,day_of_week,res_dl_kbps
195,1516809675,1516809705,228,8947080037000370261,30,13.956689357757568,24202,24202,0,0,0,0,0,1,0,-86.0,-86.0,-86.0,-61,-58,-58.0,16,2,14489.12492430441
390,1517569271,1517569299,254,8947080037000370295,28,10.287986278533936,24202,24202,0,0,0,0,0,0,0,-68.0,-68.0,-68.0,-41,-41,-41.0,11,4,19819.527077778348
391,1515945675,1515945707,254,8947080037000370295,32,10.926829814910887,24202,24202,0,0,0,0,0,1,0,-85.0,-85.0,-85.0,-60,-57,-57.0,16,6,28954.447954987074
413,1504281732,1504281757,254,8947080037000370295,25,10.179356336593626,24202,24202,0,0,0,0,0,0,0,-86.0,-86.0,-86.0,-56,-56,-56.0,16,4,39202.884837
414,1505707336,1505707361,254,8947080037000370295,25,10.244750499725342,24202,24202,0,0,0,0,0,0,0,-81.0,-81.0,-81.0,-54,-54,-54.0,4,0,20662.857062
471,1504994541,1504994567,254,8947080037000370295,26,10.743186950683594,24202,24202,0,0,0,0,0,1,0,-103.0,-103.0,-103.0,-72,-70,-72.0,22,5,17992.993055000003
472,1508602390,1508602424,254,8947080037000370295,34,11.704811811447144,24202,24202,0,0,0,0,0,0,0,-102.0,-102.0,-102.0,-73,-73,-73.0,16,5,9445.834983400457
484,1502864176,1502864216,254,8947080037000370295,40,13.168896436691284,24202,24202,0,0,0,0,1,1,0,-97.0,-96.0,-96.5,-73,-70,-71.5,6,2,9005.712563
549,1514355367,1514355394,255,89460120151127074892,27,11.000660419464113,24001,24202,0,0,0,0,0,1,0,-85.0,-85.0,-85.0,-61,-57,-59.0,6,2,22272.787759839237
552,1515902470,1515902497,255,89460120151127074892,27,10.196511507034304,24001,24202,0,0,0,0,1,0,0,-94.0,-93.0,-93.5,-62,-62,-62.0,4,6,28119.00109204515
553,1520074927,1520074955,255,89460120151127074892,28,10.734543800354004,24001,24202,0,0,0,0,0,2,0,-78.0,-78.0,-78.0,-52,-48,-49.5,11,5,29820.5286240508
554,1499408233,1499408260,255,89460120151127074892,27,11.046237468719482,24001,24202,0,0,0,0,0,1,0,-92.0,-92.0,-92.0,-64,-62,-62.0,6,4,33344.928856
555,1516636876,1516636910,255,89460120151127074892,34,12.12311577796936,24001,24202,0,0,0,0,1,1,0,-111.0,-104.0,-111.0,-79,-75,-75.0,16,0,1841.3305786122726
556,1502497067,1502497097,255,89460120151127074892,30,11.13848614692688,24001,24202,0,0,0,0,1,1,0,-95.0,-94.0,-95.0,-69,-65,-69.0,0,5,59244.189060000004
557,1504324935,1504324961,255,89460120151127074892,26,10.352075099945068,24001,24202,0,0,0,0,0,0,0,-87.0,-87.0,-87.0,-57,-57,-57.0,4,5,25989.180659
558,1504346536,1504346563,255,89460120151127074892,27,10.939882040023804,24001,24202,0,0,0,0,0,0,0,-87.0,-87.0,-87.0,-58,-58,-58.0,10,5,49732.687198
559,1501784177,1501784207,255,89460120151127074892,30,11.129076719284058,24001,24202,0,0,0,0,1,1,0,-95.0,-94.0,-94.0,-67,-64,-64.0,18,3,21620.385436
560,1499969835,1499969866,255,89460120151127074892,31,12.305774927139282,24001,24202,0,0,0,0,0,1,0,-87.0,-87.0,-87.0,-64,-60,-60.0,18,3,17530.627279
561,1516248072,1516248099,255,89460120151127074892,27,10.13667631149292,24001,24202,0,0,0,0,1,2,0,-98.0,-97.0,-97.0,-72,-69,-71.0,4,3,19060.31687919965
562,1501719396,1501719433,255,89460120151127074892,37,11.53332805633545,24001,24202,0,0,0,0,2,1,0,-92.0,-88.0,-90.0,-66,-62,-62.0,0,3,10755.594512
563,1516075352,1516075388,255,89460120151127074892,36,13.50274920463562,24001,24202,0,0,0,0,0,0,0,-96.0,-96.0,-96.0,-68,-68,-68.0,4,1,10409.747435255576
564,1499840238,1499840285,255,89460120151127074892,47,11.533200025558472,24001,24202,0,0,0,0,0,1,0,-84.0,-84.0,-84.0,-61,-57,-57.0,6,2,34545.645312
565,1501395433,1501395459,255,89460120151127074892,26,10.346973896026613,24001,24202,0,0,0,0,2,1,0,-105.0,-100.0,-103.0,-73,-70,-73.0,6,6,14143.872413
566,1503447379,1503447405,255,89460120151127074892,26,10.481363296508787,24001,24202,0,0,0,0,0,2,0,-73.0,-73.0,-73.0,-47,-43,-45.0,0,2,64271.318402
567,1516528873,1516528905,255,89460120151127074892,32,10.176146030426024,24001,24202,0,0,0,0,0,0,0,-94.0,-94.0,-94.0,-64,-64,-64.0,10,6,20341.831555573546
568,1516464072,1516464102,255,89460120151127074892,30,12.23253846168518,24001,24202,0,0,0,0,0,1,0,-74.0,-74.0,-74.0,-51,-47,-49.0,16,5,12955.448737313658
569,1504281750,1504281780,255,89460120151127074892,30,11.040327310562134,24001,24202,0,0,0,0,0,1,0,-79.0,-79.0,-79.0,-54,-52,-52.0,16,4,34040.688184
570,1502302584,1502302629,255,89460120151127074892,45,13.046663761138914,24001,24202,0,0,0,0,0,1,0,-68.0,-68.0,-68.0,-45,-42,-43.5,18,2,20292.704092
