,ts_start,ts_end,nodeid,iccid,total_measurement_duration,dl_test_duration,imsimccmnc,nwmccmnc,cid_changes,enodebid_changes,devicemode_changes,devicesubmode_changes,rsrp_changes,rssi_changes,lac_changes,min_rsrp,max_rsrp,median_rsrp,min_rssi,max_rssi,median_rssi,hour_of_day,day_of_week,res_dl_kbps
2,1516399269,1516399298,206,89460120151010468094,29,10.763181209564207,24001,24202,0,0,0,0,0,0,0,-90.0,-90.0,-90.0,-59,-59,-59.0,22,4,22487.72457959356
3,1499494646,1499494691,206,89460120151010468094,45,11.788578510284426,24001,24202,0,0,0,0,0,1,0,-88.0,-88.0,-88.0,-62,-60,-61.0,6,5,17781.831203
34,1506895993,1506896027,206,89460120151010468094,34,12.193854093551636,24001,24202,0,0,0,0,0,3,0,,,,-97,-75,-83.0,22,6,7885.241840000001
46,1500855438,1500855466,206,89460120151010468094,28,10.905676126480103,24001,24202,0,0,0,0,0,0,0,-86.0,-86.0,-86.0,-55,-55,-55.0,0,0,53846.459310000006
68,1504368135,1504368177,206,89460120151010468094,42,11.059796333312988,24001,24202,0,0,0,0,0,0,0,,,,-61,-61,-61.0,16,5,10430.092293000002
70,1501395436,1501395465,206,89460120151010468094,29,11.38281536102295,24001,24202,0,0,0,0,0,2,0,-90.0,-90.0,-90.0,-63,-58,-60.0,6,6,18155.104332
916,1514441775,1514441809,289,89460120151010468086,34,10.537647485733034,24001,24202,0,0,0,0,0,0,0,,,,-83,-83,-83.0,6,3,10209.654760098516
917,1516377668,1516377704,289,89460120151010468086,36,10.81377410888672,24001,24202,0,0,0,0,0,0,0,,,,-74,-74,-74.0,16,4,12492.438631966475
918,1516140076,1516140111,289,89460120151010468086,35,11.113829135894775,24001,24202,0,0,0,0,1,0,0,-103.0,-102.0,-103.0,-71,-71,-71.0,22,1,6417.276312500133
919,1514757673,1514757711,289,89460120151010468086,38,10.87830686569214,24001,24202,0,0,0,0,0,0,0,-102.0,-102.0,-102.0,-73,-73,-73.0,22,6,7897.5686706423885
