,ts_start,ts_end,nodeid,iccid,total_measurement_duration,dl_test_duration,imsimccmnc,nwmccmnc,cid_changes,enodebid_changes,devicemode_changes,devicesubmode_changes,rsrp_changes,rssi_changes,lac_changes,min_rsrp,max_rsrp,median_rsrp,min_rssi,max_rssi,median_rssi,hour_of_day,day_of_week,res_dl_kbps
0,1500488238,1500488271,206,89460120151010468094,33,10.484426021575928,24001,24202,0,0,0,0,0,0,0,,,,-72,-72,-72.0,18,2,17319.932736000002
1,1501071432,1501071480,206,89460120151010468094,48,12.062102794647215,24001,24202,0,0,0,0,0,3,0,,,,-81,-74,-78.0,12,2,2946.577422
4,1502216178,1502216227,206,89460120151010468094,49,12.361705780029295,24001,24202,0,0,0,0,0,1,0,-94.0,-94.0,-94.0,-69,-66,-66.0,18,1,17079.548301
5,1501028238,1501028276,206,89460120151010468094,38,10.596112251281738,24001,24202,0,0,0,0,0,0,0,,,,-69,-69,-69.0,0,2,25990.238061
6,1500725838,1500725875,206,89460120151010468094,37,11.02604079246521,24001,24202,0,0,0,0,0,3,0,,,,-75,-64,-66.0,12,5,20137.353326
7,1501373839,1501373868,206,89460120151010468094,29,11.364764928817749,24001,24202,0,0,0,0,0,1,0,-90.0,-90.0,-90.0,-62,-60,-61.0,0,6,26133.488598
8,1502086572,1502086599,206,89460120151010468094,27,10.408175230026243,24001,24202,0,0,0,0,0,1,0,-64.0,-64.0,-64.0,-41,-36,-38.5,6,0,42773.868983
9,1499386640,1499386670,206,89460120151010468094,30,10.342181444168089,24001,24202,0,0,0,0,0,0,0,-91.0,-91.0,-91.0,-61,-61,-61.0,0,4,27728.504222000003
10,1514441774,1514441803,206,89460120151010468094,29,10.412678241729736,24001,24202,0,0,0,0,2,1,0,-91.0,-89.0,-89.0,-63,-58,-63.0,6,3,9240.166357851947
11,1502064974,1502064999,206,89460120151010468094,25,10.317622184753418,24001,24202,0,0,0,0,0,1,0,-88.0,-88.0,-88.0,-62,-59,-60.5,0,0,105238.010924
12,1502453783,1502453827,206,89460120151010468094,44,11.040690660476685,24001,24202,0,0,0,0,0,1,0,-67.0,-67.0,-67.0,-43,-39,-41.0,12,4,50715.362105
13,1500747446,1500747495,206,89460120151010468094,49,12.088316202163696,24001,24202,0,0,0,0,2,1,0,-97.0,-96.0,-97.0,-68,-65,-65.0,18,5,19214.735484
14,1502756204,1502756281,206,89460120151010468094,77,12.368303060531616,24001,24202,0,0,0,0,2,0,0,-114.0,-108.0,-111.5,-75,-75,-75.0,0,1,2706.2202429999998
15,1500941833,1500941884,206,89460120151010468094,51,14.005970001220705,24001,24202,0,0,0,0,0,5,0,,,,-83,-72,-77.0,0,1,949.1478279999999
16,1502324193,1502324230,206,89460120151010468094,37,11.03068494796753,24001,24202,0,0,0,0,0,1,0,-66.0,-66.0,-66.0,-42,-39,-42.0,0,3,43167.438232
17,1505988161,1505988197,206,89460120151010468094,36,10.756072282791138,24001,24202,0,0,0,0,0,0,0,,,,-68,-68,-68.0,10,3,19753.336800999998
18,1504217028,1504217065,206,89460120151010468094,37,11.243525981903076,24001,24202,0,0,0,0,0,3,0,,,,-71,-60,-62.5,22,3,7566.834842
19,1499451449,1499451502,206,89460120151010468094,53,13.00028395652771,24001,24202,0,0,0,0,1,0,0,-90.0,-89.0,-89.5,-59,-59,-59.0,18,4,4418.950888
20,1499581041,1499581095,206,89460120151010468094,54,11.622060537338257,24001,24202,0,0,0,0,0,0,0,-87.0,-87.0,-87.0,-59,-59,-59.0,6,6,18255.462251
21,1517569268,1517569304,206,89460120151010468094,36,13.54190969467163,24001,24202,0,0,0,0,0,0,0,-98.0,-98.0,-98.0,-69,-69,-69.0,11,4,1730.93399968374
22,1500509836,1500509869,206,89460120151010468094,33,11.330370903015135,24001,24202,0,0,0,0,0,0,0,,,,-67,-67,-67.0,0,3,14960.843484
23,1515902477,1515902518,206,89460120151010468094,41,12.895769357681274,24001,24202,0,0,0,0,2,0,0,-101.0,-100.0,-100.0,-68,-68,-68.0,4,6,3161.2110108982542
24,1502194578,1502194636,206,89460120151010468094,58,13.087162733078005,24001,24202,0,0,0,0,0,1,0,-94.0,-94.0,-94.0,-69,-67,-68.0,12,1,9961.73387
25,1514398570,1514398602,206,89460120151010468094,32,12.099878549575806,24001,24202,0,0,0,0,2,1,0,-103.0,-100.0,-101.0,-76,-74,-74.0,18,2,2992.1437269951466
26,1504411337,1504411377,206,89460120151010468094,40,10.450997591018675,24001,24202,0,0,0,0,0,0,0,,,,-68,-68,-68.0,4,6,22142.964187
27,1505469737,1505469771,206,89460120151010468094,34,10.691047191619873,24001,24202,0,0,0,0,0,1,0,,,,-74,-72,-74.0,10,4,19798.377787
28,1514376974,1514377007,206,89460120151010468094,33,10.850335597991943,24001,24202,0,0,0,0,0,0,0,,,,-78,-78,-78.0,12,2,10404.095527075931
29,1500790645,1500790693,206,89460120151010468094,48,13.165850639343262,24001,24202,0,0,0,0,1,2,0,-97.0,-96.0,-97.0,-66,-61,-64.0,6,6,16157.65609
30,1502475394,1502475433,206,89460120151010468094,39,11.75711703300476,24001,24202,0,0,0,0,0,0,0,,,,-72,-72,-72.0,18,4,13593.798632
31,1500401843,1500401895,206,89460120151010468094,52,10.82778787612915,24001,24202,0,0,0,0,0,0,0,,,,-72,-72,-72.0,18,1,10724.897165
32,1502583395,1502583438,206,89460120151010468094,43,11.773752927780151,24001,24202,0,0,0,0,1,1,0,-112.0,-111.0,-111.5,-83,-81,-82.0,0,6,18165.773366999998
33,1510596910,1510596942,206,89460120151010468094,32,10.718301057815554,24001,24202,0,0,0,0,0,1,0,,,,-92,-87,-89.5,18,0,14935.965456722835
35,1511417711,1511417739,206,89460120151010468094,28,10.347438573837278,24001,24202,0,0,0,0,0,1,0,-82.0,-82.0,-82.0,-57,-54,-55.5,6,3,25276.351865217464
36,1504389738,1504389775,206,89460120151010468094,37,11.071550130844116,24001,24202,0,0,0,0,0,0,0,,,,-67,-67,-67.0,22,5,15098.086037000001
37,1504497738,1504497772,206,89460120151010468094,34,11.28845739364624,24001,24202,0,0,0,0,0,0,0,,,,-71,-71,-71.0,4,0,12351.161434
38,1500531441,1500531496,206,89460120151010468094,55,11.549462080001831,24001,24202,0,0,0,0,0,0,0,,,,-71,-71,-71.0,6,3,18468.331815999998
39,1504519341,1504519374,206,89460120151010468094,33,10.94912838935852,24001,24202,0,0,0,0,0,0,0,,,,-69,-69,-69.0,10,0,18879.873475
40,1505426541,1505426575,206,89460120151010468094,34,11.698400974273682,24001,24202,0,0,0,0,0,0,0,,,,-64,-64,-64.0,22,3,11212.911589
41,1500812236,1500812265,206,89460120151010468094,29,12.066606998443605,24001,24202,0,0,0,0,0,1,0,-80.0,-80.0,-80.0,-55,-52,-53.5,12,6,12221.126240000001
42,1499300233,1499300260,206,89460120151010468094,27,10.146809339523317,24001,24202,0,0,0,0,0,0,0,-92.0,-92.0,-92.0,-63,-63,-63.0,0,3,28571.918668000002
43,1504281738,1504281778,206,89460120151010468094,40,12.031912803649902,24001,24202,0,0,0,0,0,0,0,,,,-61,-61,-61.0,16,4,15663.525771999999
44,1500920238,1500920271,206,89460120151010468094,33,11.398561239242554,24001,24202,0,0,0,0,0,0,0,,,,-69,-69,-69.0,18,0,20750.081771
