ts_start,ts_end,nodeid,iccid,total_measurement_duration,dl_test_duration,imsimccmnc,nwmccmnc,cid_changes,enodebid_changes,devicemode_changes,devicesubmode_changes,rsrp_changes,rssi_changes,lac_changes,min_rsrp,max_rsrp,median_rsrp,min_rssi,max_rssi,median_rssi,hour_of_day,day_of_week,res_dl_kbps
1500488238,1500488271,206,89460120151010468094,33,10.484426021575928,24001,24202,0,0,0,0,0,0,0,,,,-72,-72,-72.0,18,2,17319.932736
1501071432,1501071480,206,89460120151010468094,48,12.062102794647217,24001,24202,0,0,0,0,0,3,0,,,,-81,-74,-78.0,12,2,2946.577422
1516399269,1516399298,206,89460120151010468094,29,10.763181209564209,24001,24202,0,0,0,0,0,0,0,-90,-90,-90.0,-59,-59,-59.0,22,4,22487.724579593556
1499494646,1499494691,206,89460120151010468094,45,11.788578510284424,24001,24202,0,0,0,0,0,1,0,-88,-88,-88.0,-62,-60,-61.0,6,5,17781.831203
1502216178,1502216227,206,89460120151010468094,49,12.361705780029297,24001,24202,0,0,0,0,0,1,0,-94,-94,-94.0,-69,-66,-66.0,18,1,17079.548301
1501028238,1501028276,206,89460120151010468094,38,10.596112251281738,24001,24202,0,0,0,0,0,0,0,,,,-69,-69,-69.0,0,2,25990.238061
1500725838,1500725875,206,89460120151010468094,37,11.02604079246521,24001,24202,0,0,0,0,0,3,0,,,,-75,-64,-66.0,12,5,20137.353326
1501373839,1501373868,206,89460120151010468094,29,11.364764928817749,24001,24202,0,0,0,0,0,1,0,-90,-90,-90.0,-62,-60,-61.0,0,6,26133.488598
1502086572,1502086599,206,89460120151010468094,27,10.408175230026245,24001,24202,0,0,0,0,0,1,0,-64,-64,-64.0,-41,-36,-38.5,6,0,42773.868983
1499386640,1499386670,206,89460120151010468094,30,10.34218144416809,24001,24202,0,0,0,0,0,0,0,-91,-91,-91.0,-61,-61,-61.0,0,4,27728.504222
1514441774,1514441803,206,89460120151010468094,29,10.412678241729736,24001,24202,0,0,0,0,2,1,0,-91,-89,-89.0,-63,-58,-63.0,6,3,9240.166357851947
1502064974,1502064999,206,89460120151010468094,25,10.317622184753418,24001,24202,0,0,0,0,0,1,0,-88,-88,-88.0,-62,-59,-60.5,0,0,105238.010924
1502453783,1502453827,206,89460120151010468094,44,11.040690660476685,24001,24202,0,0,0,0,0,1,0,-67,-67,-67.0,-43,-39,-41.0,12,4,50715.362105
1500747446,1500747495,206,89460120151010468094,49,12.088316202163696,24001,24202,0,0,0,0,2,1,0,-97,-96,-97.0,-68,-65,-65.0,18,5,19214.735484
1502756204,1502756281,206,89460120151010468094,77,12.368303060531616,24001,24202,0,0,0,0,2,0,0,-114,-108,-111.5,-75,-75,-75.0,0,1,2706.220243
1500941833,1500941884,206,89460120151010468094,51,14.005970001220703,24001,24202,0,0,0,0,0,5,0,,,,-83,-72,-77.0,0,1,949.147828
1502324193,1502324230,206,89460120151010468094,37,11.03068494796753,24001,24202,0,0,0,0,0,1,0,-66,-66,-66.0,-42,-39,-42.0,0,3,43167.438232
1505988161,1505988197,206,89460120151010468094,36,10.756072282791138,24001,24202,0,0,0,0,0,0,0,,,,-68,-68,-68.0,10,3,19753.336801
1504217028,1504217065,206,89460120151010468094,37,11.243525981903076,24001,24202,0,0,0,0,0,3,0,,,,-71,-60,-62.5,22,3,7566.834842
