,ts_start,ts_end,nodeid,iccid,total_measurement_duration,dl_test_duration,imsimccmnc,nwmccmnc,cid_changes,enodebid_changes,devicemode_changes,devicesubmode_changes,rsrp_changes,rssi_changes,lac_changes,min_rsrp,max_rsrp,median_rsrp,min_rssi,max_rssi,median_rssi,hour_of_day,day_of_week,res_dl_kbps
1164,1516053667,1516053693,290,89470000160204125984,26,10.396852731704714,24201,24201,0,0,0,0,1,0,0,-96.0,-95.0,-96.0,-61,-61,-61.0,22,0,18691.698780590898
1165,1504864932,1504864965,290,89470000160204125984,33,11.88892149925232,24201,24201,0,0,0,0,2,1,0,-100.0,-96.0,-97.0,-71,-68,-71.0,10,4,7334.104495999999
1166,1517090473,1517090499,290,89470000160204125984,26,10.401106119155882,24201,24201,0,0,0,0,0,0,0,-90.0,-90.0,-90.0,-63,-63,-63.0,22,5,12291.014347721664
1168,1500250759,1500250793,291,89470000160204126206,34,11.483059406280518,24201,24201,0,0,0,0,0,0,0,,,,-71,-71,-71.0,0,0,18485.827494999998
1169,1499948322,1499948358,291,89470000160204126206,36,11.950860500335693,24201,24201,0,0,0,0,0,0,0,-100.0,-100.0,-100.0,-71,-71,-71.0,12,3,10760.288209
1170,1504994532,1504994560,291,89470000160204126206,28,10.66383457183838,24201,24201,0,0,0,0,0,2,0,-115.0,-115.0,-115.0,-86,-83,-85.5,22,5,30270.111597000003
1171,1508559243,1508559268,291,89470000160204126206,25,10.540066480636595,24201,24201,0,0,0,0,0,1,0,-101.0,-101.0,-101.0,-76,-74,-74.0,4,5,38363.35542233677
1174,1504476210,1504476244,291,89470000160204126206,34,11.783165454864502,24201,24201,0,0,0,0,0,0,0,-92.0,-92.0,-92.0,-66,-66,-66.0,22,6,14138.5084
1177,1502324181,1502324209,291,89470000160204126206,28,11.085683584213257,24201,24201,0,0,0,0,1,1,0,-85.0,-83.0,-85.0,-58,-56,-58.0,0,3,23286.697402
1178,1501676230,1501676259,291,89470000160204126206,29,11.308257341384888,24201,24201,0,0,0,0,2,2,0,-81.0,-79.0,-80.0,-52,-49,-51.0,12,2,40604.876871
1179,1516053726,1516053752,291,89470000160204126206,26,10.21202516555786,24201,24201,0,0,0,0,0,1,0,-84.0,-84.0,-84.0,-55,-54,-54.0,22,0,42239.55351473968
1182,1500531530,1500531560,291,89470000160204126206,30,12.706918239593506,24201,24201,0,0,0,0,0,1,0,-86.0,-86.0,-86.0,-59,-57,-59.0,6,3,10150.000233
1183,1499624368,1499624440,291,89470000160204126206,72,15.719963550567627,24201,24201,0,0,0,0,0,1,0,,,,-104,-102,-104.0,18,6,2941.252115
1184,1507047198,1507047226,291,89470000160204126206,28,11.379357814788818,24201,24201,3,0,0,0,2,1,0,-108.0,-90.0,-92.5,-64,-61,-64.0,16,1,5454.562327000001
1185,1516442515,1516442559,291,89470000160204126206,44,10.303670883178713,24201,24201,0,0,0,0,0,0,0,-113.0,-113.0,-113.0,-84,-84,-84.0,10,5,17142.85954366584
1186,1514420224,1514420251,291,89470000160204126206,27,11.570405721664429,24201,24201,0,0,0,0,0,0,0,-92.0,-92.0,-92.0,-64,-64,-64.0,0,3,19609.21369097677
1190,1500099571,1500099612,291,89470000160204126206,41,13.163847208023071,24201,24201,0,0,0,0,0,0,0,-102.0,-102.0,-102.0,-73,-73,-73.0,6,5,8967.232031
1191,1504324982,1504325011,291,89470000160204126206,29,11.167750358581543,24201,24201,0,0,0,0,0,1,0,-95.0,-95.0,-95.0,-71,-69,-69.0,4,5,18669.424678
1193,1505210680,1505210725,291,89470000160204126206,45,10.746084690093994,24201,24201,0,0,0,0,2,2,0,-105.0,-95.0,-103.0,-77,-72,-74.0,10,1,6283.159179
1194,1500509899,1500509928,291,89470000160204126206,29,10.591389179229736,24201,24201,0,0,0,0,0,0,0,-86.0,-86.0,-86.0,-59,-59,-59.0,0,3,14526.301602000001
1195,1516140128,1516140164,291,89470000160204126206,36,10.744903326034546,24201,24201,0,0,0,0,2,2,0,-117.0,-97.0,-108.0,-83,-67,-76.0,22,1,16582.105593356162
1196,1506506592,1506506618,291,89470000160204126206,26,10.149231672286989,24201,24201,0,0,0,0,0,0,0,-80.0,-80.0,-80.0,-49,-49,-49.0,10,2,99407.567886
1197,1502237775,1502237802,291,89470000160204126206,27,10.838847875595093,24201,24201,0,0,0,0,0,0,0,-80.0,-80.0,-80.0,-54,-54,-54.0,0,2,38633.500631
1198,1501028231,1501028262,291,89470000160204126206,31,12.205511331558228,24201,24201,0,0,0,0,2,1,0,-96.0,-95.0,-96.0,-71,-67,-71.0,0,2,12382.660031
1199,1502777873,1502777920,291,89470000160204126206,47,11.191761255264282,24201,24201,0,0,0,0,0,0,0,-89.0,-89.0,-89.0,-65,-65,-65.0,6,1,13197.085785
1200,1499581083,1499581126,291,89470000160204126206,43,13.385066986083984,24201,24201,0,0,0,0,0,0,0,-104.0,-104.0,-104.0,-74,-74,-74.0,6,6,7810.010440000001
1201,1516420925,1516420963,291,89470000160204126206,38,10.499132394790651,24201,24201,0,0,0,0,0,1,0,-112.0,-112.0,-112.0,-85,-81,-81.0,4,5,30173.972632898516
