,ts_start,ts_end,nodeid,iccid,total_measurement_duration,dl_test_duration,imsimccmnc,nwmccmnc,cid_changes,enodebid_changes,devicemode_changes,devicesubmode_changes,rsrp_changes,rssi_changes,lac_changes,min_rsrp,max_rsrp,median_rsrp,min_rssi,max_rssi,median_rssi,hour_of_day,day_of_week,res_dl_kbps
5,1501028238,1501028276,206,89460120151010468094,38,10.596112251281738,24001,24202,0,0,0,0,0,0,0,,,,-69,-69,-69.0,0,2,25990.238061
7,1501373839,1501373868,206,89460120151010468094,29,11.364764928817749,24001,24202,0,0,0,0,0,1,0,-90.0,-90.0,-90.0,-62,-60,-61.0,0,6,26133.488598
9,1499386640,1499386670,206,89460120151010468094,30,10.342181444168089,24001,24202,0,0,0,0,0,0,0,-91.0,-91.0,-91.0,-61,-61,-61.0,0,4,27728.504222000003
11,1502064974,1502064999,206,89460120151010468094,25,10.317622184753418,24001,24202,0,0,0,0,0,1,0,-88.0,-88.0,-88.0,-62,-59,-60.5,0,0,105238.010924
14,1502756204,1502756281,206,89460120151010468094,77,12.368303060531616,24001,24202,0,0,0,0,2,0,0,-114.0,-108.0,-111.5,-75,-75,-75.0,0,1,2706.2202429999998
15,1500941833,1500941884,206,89460120151010468094,51,14.005970001220705,24001,24202,0,0,0,0,0,5,0,,,,-83,-72,-77.0,0,1,949.1478279999999
16,1502324193,1502324230,206,89460120151010468094,37,11.03068494796753,24001,24202,0,0,0,0,0,1,0,-66.0,-66.0,-66.0,-42,-39,-42.0,0,3,43167.438232
22,1500509836,1500509869,206,89460120151010468094,33,11.330370903015135,24001,24202,0,0,0,0,0,0,0,,,,-67,-67,-67.0,0,3,14960.843484
32,1502583395,1502583438,206,89460120151010468094,43,11.773752927780151,24001,24202,0,0,0,0,1,1,0,-112.0,-111.0,-111.5,-83,-81,-82.0,0,6,18165.773366999998
42,1499300233,1499300260,206,89460120151010468094,27,10.146809339523317,24001,24202,0,0,0,0,0,0,0,-92.0,-92.0,-92.0,-63,-63,-63.0,0,3,28571.918668000002
46,1500855438,1500855466,206,89460120151010468094,28,10.905676126480103,24001,24202,0,0,0,0,0,0,0,-86.0,-86.0,-86.0,-55,-55,-55.0,0,0,53846.459310000006
