,ts_start,ts_end,nodeid,iccid,total_measurement_duration,dl_test_duration,imsimccmnc,nwmccmnc,cid_changes,enodebid_changes,devicemode_changes,devicesubmode_changes,rsrp_changes,rssi_changes,lac_changes,min_rsrp,max_rsrp,median_rsrp,min_rssi,max_rssi,median_rssi,hour_of_day,day_of_week,res_dl_kbps
1,1501071432,1501071480,206,89460120151010468094,48,12.062102794647215,24001,24202,0,0,0,0,0,3,0,,,,-81,-74,-78.0,12,2,2946.577422
6,1500725838,1500725875,206,89460120151010468094,37,11.02604079246521,24001,24202,0,0,0,0,0,3,0,,,,-75,-64,-66.0,12,5,20137.353326
12,1502453783,1502453827,206,89460120151010468094,44,11.040690660476685,24001,24202,0,0,0,0,0,1,0,-67.0,-67.0,-67.0,-43,-39,-41.0,12,4,50715.362105
24,1502194578,1502194636,206,89460120151010468094,58,13.087162733078005,24001,24202,0,0,0,0,0,1,0,-94.0,-94.0,-94.0,-69,-67,-68.0,12,1,9961.73387
28,1514376974,1514377007,206,89460120151010468094,33,10.850335597991943,24001,24202,0,0,0,0,0,0,0,,,,-78,-78,-78.0,12,2,10404.095527075931
41,1500812236,1500812265,206,89460120151010468094,29,12.066606998443605,24001,24202,0,0,0,0,0,1,0,-80.0,-80.0,-80.0,-55,-52,-53.5,12,6,12221.126240000001
52,1499602661,1499602692,206,89460120151010468094,31,11.71680474281311,24001,24202,0,0,0,0,0,0,0,-86.0,-86.0,-86.0,-59,-59,-59.0,12,6,15728.700599000002
60,1503576980,1503577030,206,89460120151010468094,50,11.513973474502563,24001,24202,0,0,0,0,0,1,0,-96.0,-96.0,-96.0,-69,-66,-67.5,12,3,42849.170286
66,1499343433,1499343460,206,89460120151010468094,27,10.131610870361328,24001,24202,0,0,0,0,0,1,0,-91.0,-91.0,-91.0,-66,-61,-63.5,12,3,34878.012188
71,1500898633,1500898673,206,89460120151010468094,40,11.019092321395874,24001,24202,0,0,0,0,0,1,0,,,,-74,-70,-72.0,12,0,8803.21012
75,1500207436,1500207488,206,89460120151010468094,52,17.09781265258789,24001,24202,0,0,0,0,0,1,0,,,,-75,-70,-72.5,12,6,1742.219573
80,1510575312,1510575339,206,89460120151010468094,27,10.62348699569702,24001,24202,0,0,0,0,1,1,0,-78.0,-77.0,-77.5,-51,-49,-50.0,12,0,11768.214297234112
96,1501157833,1501157863,206,89460120151010468094,30,13.375715255737305,24001,24202,0,0,0,0,0,1,0,-76.0,-76.0,-76.0,-50,-48,-49.0,12,3,13656.821842
106,1500639487,1500639518,228,89470000160204126016,31,13.354341506958008,24201,24201,0,0,0,0,1,1,0,-94.0,-93.0,-93.0,-69,-67,-67.0,12,4,11921.041934
116,1502713042,1502713077,228,89470000160204126016,35,16.36985182762146,24201,24201,0,0,0,0,0,1,0,-98.0,-98.0,-98.0,-72,-70,-70.0,12,0,6299.755451
134,1500812236,1500812289,228,8947080037000370261,53,13.519567012786865,24202,24202,0,0,0,0,0,0,0,-114.0,-114.0,-114.0,-86,-86,-86.0,12,6,5148.202136
148,1503231375,1503231402,228,8947080037000370261,27,10.49964475631714,24202,24202,0,0,0,0,0,1,0,-94.0,-94.0,-94.0,-67,-64,-64.0,12,6,25395.491501
178,1503317774,1503317801,228,8947080037000370261,27,10.42809557914734,24202,24202,0,0,0,0,0,1,0,-97.0,-97.0,-97.0,-73,-70,-71.5,12,0,7285.719129000001
189,1503404176,1503404205,228,8947080037000370261,29,11.526737689971926,24202,24202,0,0,0,0,0,0,0,-96.0,-96.0,-96.0,-69,-69,-69.0,12,1,9229.692056
192,1502712976,1502713019,228,8947080037000370261,43,10.42868947982788,24202,24202,0,0,0,0,1,0,0,-106.0,-105.0,-105.5,-78,-78,-78.0,12,0,11732.931156
194,1503490576,1503490610,228,8947080037000370261,34,13.302597284317017,24202,24202,0,0,0,0,1,1,0,-97.0,-95.0,-97.0,-72,-70,-72.0,12,2,20230.431375
216,1499257164,1499257204,228,8947080037000370261,40,13.650061845779419,24202,24202,0,0,0,0,0,3,0,,,,-96,-92,-94.0,12,2,6306.546086
219,1500639435,1500639464,228,8947080037000370261,29,13.107612371444702,24202,24202,0,0,0,0,0,1,0,-93.0,-93.0,-93.0,-68,-66,-67.0,12,4,13975.597994
237,1502021861,1502021913,254,89470000160204126347,52,12.95922040939331,24201,24201,1,0,0,0,2,2,0,-99.0,-97.0,-98.0,-73,-69,-73.0,12,6,25402.571218
255,1500034691,1500034717,254,89470000160204126347,26,10.234916448593141,24201,24201,0,0,0,0,0,0,0,-98.0,-98.0,-98.0,-71,-71,-71.0,12,4,15049.528976
267,1502453821,1502453850,254,89470000160204126347,29,12.286060094833374,24201,24201,0,0,0,0,0,0,0,-107.0,-107.0,-107.0,-76,-76,-76.0,12,4,17431.220778
269,1502626628,1502626655,254,89470000160204126347,27,10.307803630828856,24201,24201,0,0,0,0,0,1,0,-99.0,-99.0,-99.0,-72,-69,-70.5,12,6,10525.350686
271,1502281052,1502281079,254,89470000160204126347,27,10.895166158676147,24201,24201,0,0,0,0,2,1,0,-94.0,-93.0,-94.0,-67,-63,-63.0,12,2,33877.169989999995
272,1500985183,1500985216,254,89470000160204126347,33,11.025089979171753,24201,24201,1,0,0,0,1,1,0,-104.0,-95.0,-104.0,-69,-67,-69.0,12,1,19897.361463
277,1502972220,1502972246,254,89470000160204126347,26,10.189116239547731,24201,24201,0,0,0,0,0,0,0,-86.0,-86.0,-86.0,-59,-59,-59.0,12,3,12365.204357999999
278,1501330740,1501330777,254,89470000160204126347,37,13.644387483596802,24201,24201,1,0,0,0,0,3,0,,,,-97,-89,-96.0,12,5,9490.472211
279,1502713019,1502713046,254,89470000160204126347,27,10.359757184982302,24201,24201,0,0,0,0,0,1,0,-95.0,-95.0,-95.0,-69,-65,-69.0,12,0,14688.238309999999
281,1503490628,1503490655,254,89470000160204126347,27,10.858161687850952,24201,24201,0,0,0,0,0,1,0,-91.0,-91.0,-91.0,-65,-61,-63.0,12,2,47354.006441000005
289,1499861883,1499861909,254,89470000160204126347,26,10.245624542236328,24201,24201,0,0,0,0,0,0,0,-88.0,-88.0,-88.0,-61,-61,-61.0,12,2,11836.140943
291,1502799428,1502799454,254,89470000160204126347,26,10.36229419708252,24201,24201,0,0,0,0,0,0,0,-87.0,-87.0,-87.0,-57,-57,-57.0,12,1,11296.430470000001
298,1499948314,1499948341,254,89470000160204126347,27,10.216368198394775,24201,24201,0,0,0,0,0,1,0,-97.0,-97.0,-97.0,-70,-67,-70.0,12,3,11848.289436
300,1500812368,1500812406,254,89470000160204126347,38,12.164440870285034,24201,24201,0,0,0,0,0,3,0,,,,-88,-78,-86.0,12,6,9170.736970999998
301,1503577022,1503577049,254,89470000160204126347,27,11.118003606796265,24201,24201,0,0,0,0,0,0,0,-92.0,-92.0,-92.0,-62,-62,-62.0,12,3,29663.960231999998
304,1503404222,1503404250,254,89470000160204126347,28,11.32735562324524,24201,24201,0,0,0,0,2,1,0,-91.0,-90.0,-90.5,-62,-60,-60.0,12,1,52924.631029000004
316,1502540249,1502540275,254,89470000160204126347,26,10.429907560348509,24201,24201,0,0,0,0,2,2,0,-100.0,-99.0,-99.0,-69,-67,-69.0,12,5,12178.407524
343,1514377016,1514377053,254,89470000160204126347,37,13.695708751678467,24201,24201,0,0,0,0,1,1,0,-109.0,-108.0,-108.0,-79,-76,-76.0,12,2,14744.022116249593
354,1501244308,1501244337,254,89470000160204126347,29,11.5364670753479,24201,24201,0,0,0,0,3,3,0,-80.0,-73.0,-74.0,-60,-43,-50.0,12,4,38546.922276
355,1502885778,1502885828,254,89470000160204126347,50,11.181286811828613,24201,24201,0,0,0,0,0,0,0,-85.0,-85.0,-85.0,-58,-58,-58.0,12,2,23923.499849
364,1514376967,1514377001,254,8947080037000370295,34,12.361496925354006,24202,24202,0,0,0,0,0,0,0,-96.0,-96.0,-96.0,-68,-68,-68.0,12,2,3618.2886664702137
368,1503576977,1503577004,254,8947080037000370295,27,10.677371263504027,24202,24202,0,0,0,0,1,0,0,-69.0,-68.0,-68.5,-42,-42,-42.0,12,3,46592.685302
369,1503490576,1503490602,254,8947080037000370295,26,10.412791967391966,24202,24202,0,0,0,0,0,1,0,-72.0,-72.0,-72.0,-45,-43,-43.0,12,2,72701.265283
380,1502453776,1502453804,254,8947080037000370295,28,11.712052822113035,24202,24202,0,0,0,0,0,1,0,-69.0,-69.0,-69.0,-46,-42,-44.0,12,4,19633.511855
381,1500121194,1500121225,254,8947080037000370295,31,10.32119607925415,24202,24202,0,0,0,0,0,0,0,-93.0,-93.0,-93.0,-69,-69,-69.0,12,5,15018.780294
382,1500034636,1500034667,254,8947080037000370295,31,11.581597805023193,24202,24202,0,0,0,0,1,1,0,-94.0,-93.0,-93.5,-70,-67,-68.5,12,4,22953.09609
399,1502885860,1502885885,254,8947080037000370295,25,10.242962598800661,24202,24202,0,0,0,0,1,0,0,-101.0,-100.0,-100.5,-72,-72,-72.0,12,2,11104.964467
401,1511007309,1511007338,254,8947080037000370295,29,10.437324762344359,24202,24202,0,0,0,0,2,2,0,-98.0,-96.0,-97.0,-75,-68,-73.0,12,5,20020.841541888363
403,1502972175,1502972203,254,8947080037000370295,28,11.57564091682434,24202,24202,0,0,0,0,0,1,0,-96.0,-96.0,-96.0,-70,-68,-69.0,12,3,17394.93984
404,1499948236,1499948287,254,8947080037000370295,51,11.34960412979126,24202,24202,0,0,0,0,0,1,0,-93.0,-93.0,-93.0,-68,-66,-66.0,12,3,33064.716366
446,1502799375,1502799404,254,8947080037000370295,29,11.898404836654663,24202,24202,0,0,0,0,0,0,0,-90.0,-90.0,-90.0,-64,-64,-64.0,12,1,15867.16687
458,1501071440,1501071494,254,8947080037000370295,54,10.966864585876463,24202,24202,0,0,0,0,1,1,0,-99.0,-95.0,-97.0,-69,-66,-67.5,12,2,7646.1065739999995
474,1499861834,1499861862,254,8947080037000370295,28,11.09244990348816,24202,24202,0,0,0,0,2,2,0,-89.0,-88.0,-88.0,-65,-61,-63.0,12,2,33183.740332
478,1502108195,1502108254,254,8947080037000370295,59,12.61352825164795,24202,24202,0,0,0,0,0,1,0,,,,-98,-97,-97.5,12,0,2193.4563980000003
483,1501157835,1501157874,254,8947080037000370295,39,13.613448858261108,24202,24202,0,0,0,0,2,1,0,-113.0,-111.0,-112.0,-84,-82,-82.0,12,3,1728.296219
495,1502540180,1502540226,254,8947080037000370295,46,10.993207454681396,24202,24202,0,0,0,0,0,2,0,-70.0,-70.0,-70.0,-47,-43,-46.0,12,5,46960.649217
499,1502626575,1502626602,254,8947080037000370295,27,10.965200662612915,24202,24202,0,0,0,0,0,1,0,-70.0,-70.0,-70.0,-46,-43,-46.0,12,6,40974.750886
507,1500898637,1500898676,254,8947080037000370295,39,10.873287200927734,24202,24202,0,0,0,0,0,3,0,,,,-103,-95,-98.5,12,0,4102.189086
509,1502712975,1502713000,254,8947080037000370295,25,10.211601734161377,24202,24202,0,0,0,0,0,0,0,-72.0,-72.0,-72.0,-45,-45,-45.0,12,0,24877.236344
516,1501244238,1501244281,254,8947080037000370295,43,11.613468408584595,24202,24202,0,0,0,0,0,2,0,,,,-91,-87,-90.0,12,4,8128.9189480000005
518,1500812238,1500812328,254,8947080037000370295,90,10.874993562698364,24202,24202,0,0,0,0,3,3,0,-107.0,-103.0,-105.5,-80,-74,-78.0,12,6,4977.958308
523,1503404177,1503404203,254,8947080037000370295,26,10.5718412399292,24202,24202,0,0,0,0,0,1,0,-72.0,-72.0,-72.0,-46,-43,-43.0,12,1,63648.455626999996
526,1510575307,1510575336,254,8947080037000370295,29,11.992262840270994,24202,24202,0,0,0,0,0,1,0,-88.0,-88.0,-88.0,-65,-61,-63.0,12,0,18414.846693985633
530,1500985057,1500985141,254,8947080037000370295,84,17.592747688293453,24202,24202,0,0,0,0,2,2,0,-120.0,-119.0,-120.0,-87,-85,-85.0,12,1,4108.552988
536,1499948233,1499948261,255,89460120151127074892,28,11.072093486785887,24001,24202,0,0,0,0,0,1,0,-88.0,-88.0,-88.0,-64,-61,-62.5,12,3,37260.559314
538,1501244236,1501244292,255,89460120151127074892,56,13.586198329925535,24001,24202,1,0,0,0,0,2,0,,,,-92,-83,-83.0,12,4,5256.709995
542,1502540175,1502540201,255,89460120151127074892,26,10.685125827789307,24001,24202,0,0,0,0,1,1,0,-83.0,-82.0,-82.5,-57,-53,-55.0,12,5,57456.444078
579,1514376967,1514376994,255,89460120151127074892,27,10.566351413726807,24001,24202,0,0,0,0,0,1,0,-86.0,-86.0,-86.0,-61,-58,-59.5,12,2,15816.843561937261
582,1501071437,1501071466,255,89460120151127074892,29,11.710945844650269,24001,24202,0,0,0,0,2,3,0,-99.0,-93.0,-98.0,-75,-60,-70.0,12,2,9162.160093
583,1502885772,1502885800,255,89460120151127074892,28,11.310806512832642,24001,24202,0,0,0,0,1,1,0,-89.0,-88.0,-88.5,-65,-62,-63.5,12,2,27460.979619
600,1503404178,1503404207,255,89460120151127074892,29,10.851544618606567,24001,24202,0,0,0,0,0,1,0,-62.0,-62.0,-62.0,-39,-35,-37.0,12,1,35254.518486
603,1500121034,1500121066,255,89460120151127074892,32,11.40878176689148,24001,24202,0,0,0,0,0,1,0,-88.0,-88.0,-88.0,-64,-62,-62.0,12,5,32060.635449
614,1502280984,1502281029,255,89460120151127074892,45,10.90997052192688,24001,24202,0,0,0,0,0,1,0,-67.0,-67.0,-67.0,-44,-41,-42.5,12,2,45365.875279
616,1502712974,1502713002,255,89460120151127074892,28,10.855355262756348,24001,24202,0,0,0,0,0,1,0,-71.0,-71.0,-71.0,-48,-44,-46.0,12,0,14108.521169999998
649,1502021779,1502021811,255,89460120151127074892,32,12.907901525497437,24001,24202,1,0,0,0,2,2,0,-107.0,-105.0,-106.0,-77,-74,-76.0,12,6,2680.265239
656,1500034632,1500034662,255,89460120151127074892,30,12.23618483543396,24001,24202,0,0,0,0,0,1,0,-88.0,-88.0,-88.0,-65,-62,-63.5,12,4,18503.530406
