,nodeid,iccid_x,res_time_start_s,res_time_end_s,gps_lat,gps_long,gps_speed,res_dl_throughput_kbps,res_ul_throughput_kbps,res_rtt_tcp_payload_client_ns,res_rtt_tcp_payload_server_ns,apu,route_id,segment_id,segment_lat,segment_long,route_desc,ts_start,ts_end,iccid_y,total_measurement_duration,dl_test_duration,imsimccmnc,nwmccmnc,cid_changes,enodebid_changes,devicemode_changes,devicesubmode_changes,rsrp_changes,rssi_changes,lac_changes,min_rsrp,max_rsrp,median_rsrp,min_rssi,max_rssi,median_rssi,hour_of_day,day_of_week,res_dl_kbps
0,291,8947080037000370246,1500358638.0,1500358675.0,59.75889,9.891238000000001,124.2692,5889.15001,2283.4776829999996,41890241,55948315,2,10,1,59.7594442192961,9.89088923461701,Drammen - Stavanger,1500358638,1500358675,8947080037000370246,37,13.660045385360718,24202,24202,0,0,0,0,0,2,0,,,,-84,-65,-84.0,6,1,5889.15001
1,291,89470000160204126206,1500358700.0,1500358734.0,59.743483,9.87655,90.748,5040.963703,8445.17577,131759648,97517774,2,10,3,59.743127406151295,9.87582934637694,Drammen - Stavanger,1500358700,1500358734,89470000160204126206,34,12.99267292022705,24201,24201,1,0,0,0,2,1,0,-110.0,-103.0,-106.0,-77,-71,-77.0,6,1,5040.963703
2,291,8947080037000370246,1500466641.0,1500466691.0,58.157697999999996,7.834592999999999,27.2244,27785.517398000004,16303.856765999999,41714588,40024758,2,10,264,58.15903291488689,7.8421847451579705,Drammen - Stavanger,1500466641,1500466691,8947080037000370246,50,10.849006652832033,24202,24202,0,0,0,0,1,1,0,-95.0,-92.0,-93.5,-72,-66,-69.0,12,2,27785.517398000004
3,291,8947080037000370246,1500596236.0,1500596300.0,58.657798,8.663675,64.82,3576.5949020000003,1143.279159,51546738,52031580,2,10,177,58.6645396435657,8.6660698302945,Drammen - Stavanger,1500596236,1500596300,8947080037000370246,64,13.349311590194702,24202,24202,0,0,0,0,0,1,0,,,,-62,-58,-60.0,0,4,3576.5949020000003
4,291,89470000160204126206,1500877032.0,1500877066.0,59.754412,9.889603,95.378,4561.435175,10055.191918999999,49389490,39577736,2,10,2,59.751285625952605,9.883359388748369,Drammen - Stavanger,1500877032,1500877066,89470000160204126206,34,15.037821531295776,24201,24201,1,0,0,0,3,1,0,-105.0,-102.0,-104.0,-76,-73,-73.0,6,0,4561.435175
5,291,8947080037000370246,1500877097.0,1500877134.0,59.74005,9.874761999999999,95.5632,11754.781531999999,256.18249199999997,72559257,69922929,2,10,3,59.743127406151295,9.87582934637694,Drammen - Stavanger,1500877097,1500877134,8947080037000370246,37,11.59612250328064,24202,24202,0,0,0,0,0,2,0,,,,-90,-84,-87.0,6,0,11754.781531999999
6,291,8947080037000370246,1501114716.0,1501114756.0,58.655012,8.643588000000001,28.8912,7959.567387,1148.2273710000002,63471279,72135362,2,10,179,58.6575338658345,8.63420101435099,Drammen - Stavanger,1501114716,1501114756,8947080037000370246,40,12.733595609664915,24202,24202,0,0,0,0,0,2,0,,,,-69,-64,-67.5,0,3,7959.567387
7,291,8947080037000370246,1501222790.0,1501222818.0,58.156063,7.836353,101.1192,16081.262621000002,20296.227687,43329171,44936352,2,10,264,58.15903291488689,7.8421847451579705,Drammen - Stavanger,1501222790,1501222818,8947080037000370246,28,11.806963443756105,24202,24202,0,0,0,0,2,2,0,-100.0,-94.0,-96.0,-72,-70,-72.0,6,4,16081.262621000002
8,291,8947080037000370246,1501330793.0,1501330826.0,58.44268,8.106812,109.8236,7970.349270000001,5067.505506,64031188,52258315,2,10,219,58.442868786359995,8.1138880653309,Drammen - Stavanger,1501330793,1501330826,8947080037000370246,33,11.58196473121643,24202,24202,0,0,0,0,0,3,0,,,,-84,-76,-81.5,12,5,7970.349270000001
9,291,8947080037000370246,1501589775.0,1501589814.0,58.377134999999996,8.081347000000001,89.822,5038.9026890000005,1873.72718,49666214,49884678,2,10,227,58.3757921916265,8.0698967540466,Drammen - Stavanger,1501589775,1501589814,8947080037000370246,39,11.205942869186401,24202,24202,1,0,0,0,0,2,0,,,,-66,-62,-64.0,12,1,5038.9026890000005
10,291,8947080037000370246,1501632982.0,1501633058.0,58.655463,8.670803,83.7104,1090.424164,6454.276516,59592869,49921941,2,10,177,58.6645396435657,8.6660698302945,Drammen - Stavanger,1501632982,1501633058,8947080037000370246,76,13.684098720550535,24202,24202,0,0,0,0,0,3,0,,,,-120,-90,-96.0,0,2,1090.424164
11,291,89470000160204126206,1501741146.0,1501741189.0,58.15355,7.867883,38.5216,12396.041592,2128.894789,64909429,52792917,2,10,262,58.1570714354696,7.87608781799696,Drammen - Stavanger,1501741146,1501741189,89470000160204126206,43,12.847917556762695,24201,24201,1,0,0,0,2,2,0,-105.0,-101.0,-104.5,-78,-69,-71.5,6,3,12396.041592
12,291,89470000160204126206,1503598646.0,1503598680.0,58.789092000000004,8.958258,100.7488,10184.270495,2901.4745829999997,42807070,45150921,2,10,155,58.788737682564104,8.95267213434495,Drammen - Stavanger,1503598646,1503598680,89470000160204126206,34,12.62852954864502,24201,24201,0,0,0,0,1,1,0,-107.0,-105.0,-106.0,-80,-76,-78.0,18,3,10184.270495
13,291,8947080037000370246,1504303332.0,1504303367.0,58.782903000000005,5.697884999999999,120.38,3582.300571,1662.313315,33753400,35825546,2,10,436,58.7818983247844,5.69099763433707,Drammen - Stavanger,1504303332,1504303367,8947080037000370246,35,11.747668504714966,24202,24202,0,0,0,0,0,2,0,,,,-77,-62,-73.0,22,4,3582.300571
