,nodeid,iccid_x,res_time_start_s,res_time_end_s,gps_lat,gps_long,gps_speed,res_dl_throughput_kbps,res_ul_throughput_kbps,res_rtt_tcp_payload_client_ns,res_rtt_tcp_payload_server_ns,apu,route_id,segment_id,segment_lat,segment_long,route_desc,ts_start,ts_end,iccid_y,total_measurement_duration,dl_test_duration,imsimccmnc,nwmccmnc,cid_changes,enodebid_changes,devicemode_changes,devicesubmode_changes,rsrp_changes,rssi_changes,lac_changes,min_rsrp,max_rsrp,median_rsrp,min_rssi,max_rssi,median_rssi,hour_of_day,day_of_week,res_dl_kbps
0,290,89470000160204125984,1506420134.0,1506420162.0,60.532353,8.150057,90.5628,6008.640153,8824.907841,30864443,20745598,2,13,273,60.528814186320105,8.152755498307481,Oslo - Bergen,1506420134,1506420162,89470000160204125984,28,11.567980527877808,24201,24201,1,0,0,0,2,2,0,-101.0,-96.0,-100.5,-72,-68,-70.0,10,1,6008.640153
1,290,89470000160204125984,1506506533.0,1506506563.0,60.536412,8.213395,60.3752,13210.337368999999,14231.144411000001,63645903,40114296,2,13,270,60.5376916558729,8.20459489322488,Oslo - Bergen,1506506533,1506506563,89470000160204125984,30,13.532821416854858,24201,24201,0,0,0,0,1,2,0,-84.0,-76.0,-76.0,-54,-48,-54.0,10,2,13210.337368999999
2,290,89470000160204125984,1507025591.0,1507025623.0,60.528808,8.138592,71.4872,6051.321421,5819.399538000001,39280205,33944274,2,13,274,60.524822714779205,8.13661433345431,Oslo - Bergen,1507025591,1507025623,89470000160204125984,32,14.290174722671509,24201,24201,0,0,0,0,3,2,0,-100.0,-95.0,-97.0,-71,-66,-67.0,10,1,6051.321421
3,290,89470000160204125984,1507111992.0,1507112052.0,60.491046999999995,8.053243,70.5612,3356.095682,15948.336325999999,57861327,60396698,2,13,279,60.4982052886185,8.0637193669718,Oslo - Bergen,1507111992,1507112052,89470000160204125984,60,18.000783681869507,24201,24201,1,0,0,0,4,2,0,-98.0,-93.0,-96.5,-68,-65,-65.0,10,2,3356.095682
4,290,89470000160204125984,1507975988.0,1507976029.0,60.503252,7.989807000000001,108.8976,488.6940294094478,925.0465773443207,18618849,40228753,2,13,283,60.5024166269691,7.99111751097503,Oslo - Bergen,1507975988,1507976029,89470000160204125984,41,14.787772178649902,24201,24201,0,0,0,0,3,1,0,-128.0,-101.0,-111.5,-75,-73,-75.0,10,5,488.6940294094478
5,290,89470000160204125984,1510596908.0,1510596935.0,60.612327,8.526335000000001,79.636,15129.862257546629,13194.287190076071,19846655,39505645,2,13,250,60.61346204888229,8.531524637368031,Oslo - Bergen,1510596908,1510596935,89470000160204125984,27,10.791043281555176,24201,24201,0,0,0,0,2,1,0,-99.0,-87.0,-89.0,-69,-62,-69.0,18,0,15129.862257546629
6,291,8947080037000370246,1499149037.0,1499149088.0,59.906555000000004,10.77559,36.8548,13727.048419,10777.585449,46405573,32040045,2,13,21,59.9053472959861,10.7743135824301,Oslo - Bergen,1499149037,1499149088,8947080037000370246,51,13.858837604522705,24202,24202,0,0,0,0,1,0,0,-87.0,-84.0,-85.5,-61,-61,-61.0,6,1,13727.048419
7,291,8947080037000370246,1505469734.0,1505469771.0,59.74858199999999,10.247042,84.266,1868.750059,1392.754757,28831002,25980785,2,13,59,59.747194984936506,10.2447801711623,Oslo - Bergen,1505469734,1505469771,8947080037000370246,37,11.8220796585083,24202,24202,1,0,0,0,0,0,0,,,,-68,-68,-68.0,10,4,1868.750059
8,291,8947080037000370246,1506420133.0,1506420175.0,59.833580000000005,10.43477,13.7048,3428.219735,888.7883539999999,39469214,39925913,2,13,45,59.830827038721296,10.431475719967999,Oslo - Bergen,1506420133,1506420175,8947080037000370246,42,10.811608076095581,24202,24202,0,0,0,0,0,1,0,,,,-85,-83,-85.0,10,1,3428.219735
9,291,89470000160204126206,1506420205.0,1506420232.0,59.833742,10.435080000000001,11.112,26552.308652,17166.73736,51575583,43062598,2,13,45,59.830827038721296,10.431475719967999,Oslo - Bergen,1506420205,1506420232,89470000160204126206,27,11.132811307907104,24201,24201,0,0,0,0,2,2,0,-90.0,-85.0,-89.0,-66,-60,-63.0,10,1,26552.308652
10,291,8947080037000370246,1516939267.0,1516939300.0,59.75066700000001,10.019133,35.3732,6961.202936003102,5586.012913596645,27655584,21978473,2,13,72,59.7526288076926,10.0182950328851,Oslo - Bergen,1516939267,1516939300,8947080037000370246,33,11.06133770942688,24202,24202,0,0,0,0,2,1,0,-110.0,-108.0,-109.0,-81,-78,-78.0,4,4,6961.202936003102
11,291,89470000160204126206,1516939321.0,1516939355.0,59.751205000000006,10.010272,34.262,16807.58445847961,5965.289874808228,22986182,33451995,2,13,72,59.7526288076926,10.0182950328851,Oslo - Bergen,1516939321,1516939355,89470000160204126206,34,10.299582958221436,24201,24201,0,0,0,0,2,2,0,-102.0,-100.0,-101.0,-77,-69,-71.0,4,4,16807.58445847961
12,292,89470000160204126024,1499667496.0,1499667532.0,59.904945,10.777515,21.1128,6636.3978560000005,5585.256807,56128785,37286192,2,13,21,59.9053472959861,10.7743135824301,Oslo - Bergen,1499667496,1499667532,89470000160204126024,36,15.531055688858032,24201,24201,1,0,0,0,3,1,0,-103.0,-101.0,-102.0,-74,-66,-74.0,6,0,6636.3978560000005
13,292,8947080037000370238,1499710636.0,1499710669.0,59.904757,10.784573,20.372,11262.912581999999,1511.867358,36595824,36043598,2,13,20,59.9008749579925,10.785191489017699,Oslo - Bergen,1499710636,1499710669,8947080037000370238,33,12.095900774002075,24202,24202,0,0,0,0,0,1,0,,,,-79,-77,-77.0,18,0,11262.912581999999
14,292,89470000160204126024,1499710692.0,1499710723.0,59.904555,10.783095,11.4824,11949.418211,8335.025226,39711555,40586683,2,13,20,59.9008749579925,10.785191489017699,Oslo - Bergen,1499710692,1499710723,89470000160204126024,31,11.827892303466795,24201,24201,0,0,0,0,1,3,0,-98.0,-96.0,-96.0,-73,-66,-69.5,18,0,11949.418211
15,292,8947080037000370238,1500077835.0,1500077874.0,60.55497,9.147098,100.3784,6087.614293,947.723233,49312461,47795392,2,13,206,60.5511777945174,9.13915753842629,Oslo - Bergen,1500077835,1500077874,8947080037000370238,39,12.78645133972168,24202,24202,0,0,0,0,0,2,0,,,,-88,-83,-86.0,0,5,6087.614293
16,292,89470000160204126024,1500077898.0,1500077962.0,60.572444999999995,9.120075,81.8584,1410.369389,582.370068,549875995,180254436,2,13,209,60.5755055279311,9.11532358087409,Oslo - Bergen,1500077898,1500077962,89470000160204126024,64,13.478216409683228,24201,24201,1,0,0,0,0,2,0,,,,-62,-59,-62.0,0,5,1410.369389
17,292,8947080037000370238,1500207438.0,1500207510.0,59.854223,9.895125,80.0064,1475.914716,2114.2865100000004,37752634,39969552,2,13,88,59.851870312326206,9.89460399931905,Oslo - Bergen,1500207438,1500207510,8947080037000370238,72,20.027552843093872,24202,24202,0,0,0,0,0,2,0,,,,-80,-70,-73.0,12,6,1475.914716
18,292,89470000160204126024,1500207548.0,1500207582.0,59.869267,9.889427,88.896,4890.2147,6788.427184,80376258,39960392,2,13,90,59.869498272473095,9.89745006882771,Oslo - Bergen,1500207548,1500207582,89470000160204126024,34,14.955451250076294,24201,24201,0,0,0,0,2,2,0,-100.0,-98.0,-99.5,-76,-69,-74.0,12,6,4890.2147
19,292,89470000160204126024,1500553105.0,1500553177.0,60.41145699999999,9.507265,99.8228,3567.263575,124.555726,555415430,100287196,2,13,179,60.4128752466275,9.507978953351552,Oslo - Bergen,1500553105,1500553177,89470000160204126024,72,17.740260124206547,24201,24201,0,0,0,0,0,5,0,,,,-117,-95,-106.5,12,3,3567.263575
20,292,8947080037000370238,1500898637.0,1500898671.0,59.756168,10.270173,37.5956,8265.191697,2006.631831,51393918,51580945,2,13,57,59.75776006136999,10.2737112875306,Oslo - Bergen,1500898637,1500898671,8947080037000370238,34,12.745837688446045,24202,24202,3,0,0,0,0,0,0,,,,-82,-82,-82.0,12,0,8265.191697
21,292,89470000160204126024,1500898694.0,1500898731.0,59.761023,10.281705,69.45,10138.279951,7639.670055,49582958,72048199,2,13,56,59.7629607881752,10.2882940554483,Oslo - Bergen,1500898694,1500898731,89470000160204126024,37,14.642355918884276,24201,24201,2,0,0,0,3,3,0,-91.0,-74.0,-86.0,-64,-48,-62.0,12,0,10138.279951
22,292,8947080037000370238,1500941865.0,1500941907.0,60.545798,9.157022,102.0452,10691.907721,1119.752565,96998469,59735978,2,13,205,60.5430678274786,9.147101830575052,Oslo - Bergen,1500941865,1500941907,8947080037000370238,42,11.220963954925537,24202,24202,0,0,0,0,0,3,0,,,,-77,-72,-75.0,0,1,10691.907721
23,292,89470000160204126024,1500941940.0,1500941987.0,60.562512,9.13547,101.4896,5535.639635,2243.149032,127460357,70059943,2,13,207,60.5592874000919,9.13121306594451,Oslo - Bergen,1500941940,1500941987,89470000160204126024,47,12.319748401641846,24201,24201,0,0,0,0,0,4,0,,,,-77,-72,-75.0,0,1,5535.639635
24,292,89470000160204126024,1501071428.0,1501071464.0,59.953275,9.982133000000001,94.452,9526.806837,305.971411,69731321,79403989,2,13,100,59.9497015041039,9.97781098813,Oslo - Bergen,1501071428,1501071464,89470000160204126024,36,13.029828071594238,24201,24201,0,0,0,0,0,2,0,,,,-103,-82,-98.0,12,2,9526.806837
25,292,8947080037000370238,1501071494.0,1501071532.0,59.965592,9.993464999999999,49.2632,4174.439618,2245.6666609999997,43135650,43857172,2,13,102,59.966151987501,9.992408877223552,Oslo - Bergen,1501071494,1501071532,8947080037000370238,38,13.535542249679565,24202,24202,0,0,0,0,0,2,0,,,,-81,-74,-76.0,12,2,4174.439618
26,292,8947080037000370238,1501223105.0,1501223135.0,60.465546999999994,5.742141999999999,68.3388,45276.388092,8531.385299,59197495,51885780,2,13,429,60.4696502500529,5.7251211339232,Oslo - Bergen,1501223105,1501223135,8947080037000370238,30,10.531765460968018,24202,24202,0,0,0,0,2,2,0,-104.0,-98.0,-100.0,-77,-65,-74.0,6,4,45276.388092
27,292,8947080037000370238,1501244239.0,1501244282.0,59.74803000000001,10.244692,31.1136,10409.288672,2207.0096940000003,61550424,47798442,2,13,59,59.747194984936506,10.2447801711623,Oslo - Bergen,1501244239,1501244282,8947080037000370238,43,15.087069034576414,24202,24202,1,0,0,0,0,3,0,,,,-83,-69,-79.0,12,4,10409.288672
