,nodeid,iccid_x,res_time_start_s,res_time_end_s,gps_lat,gps_long,gps_speed,res_dl_throughput_kbps,res_ul_throughput_kbps,res_rtt_tcp_payload_client_ns,res_rtt_tcp_payload_server_ns,apu,route_id,segment_id,segment_lat,segment_long,route_desc,ts_start,ts_end,iccid_y,total_measurement_duration,dl_test_duration,imsimccmnc,nwmccmnc,cid_changes,enodebid_changes,devicemode_changes,devicesubmode_changes,rsrp_changes,rssi_changes,lac_changes,min_rsrp,max_rsrp,median_rsrp,min_rssi,max_rssi,median_rssi,hour_of_day,day_of_week,res_dl_kbps
0,289,89460120151010468086,1503490579.0,1503490637.0,59.953685,11.046725,35.5584,4171.887183,690.5803599999999,116459482,451949462,2,4,451,59.953584854545404,11.056507432727301,Oslo - Roros - Storen,1503490579,1503490637,89460120151010468086,58,11.30767297744751,24001,24202,1,0,0,0,0,1,0,,,,-70,-68,-68.0,12,2,4171.887183
1,289,89460120151010468086,1503576978.0,1503577021.0,59.957612,11.058722,100.1932,3246.093147,1455.0837880000001,83992434,74996936,2,4,451,59.953584854545404,11.056507432727301,Oslo - Roros - Storen,1503576978,1503577021,89460120151010468086,43,12.801720142364502,24001,24202,1,0,0,0,0,2,0,,,,-94,-83,-94.0,12,3,3246.093147
2,290,89470000160204125984,1500553034.0,1500553064.0,59.953782,11.047533,38.1512,23431.438883000003,9684.385621,70645430,56651497,2,4,451,59.953584854545404,11.056507432727301,Oslo - Roros - Storen,1500553034,1500553064,89470000160204125984,30,12.306568622589113,24201,24201,0,0,0,0,2,2,0,-67.0,-65.0,-66.0,-46,-39,-42.0,12,3,23431.438883000003
3,290,89470000160204125984,1501848971.0,1501849001.0,59.957077000000005,11.057845,68.524,15431.879387,7787.616708,38791592,39710425,2,4,451,59.953584854545404,11.056507432727301,Oslo - Roros - Storen,1501848971,1501849001,89470000160204125984,30,12.290711402893065,24201,24201,0,0,0,0,2,2,0,-79.0,-71.0,-72.0,-55,-43,-49.0,12,4,15431.879387
4,290,89470000160204125984,1503317770.0,1503317798.0,59.955805000000005,11.054765,75.3764,24061.2297,14928.400548,47996865,52030574,2,4,451,59.953584854545404,11.056507432727301,Oslo - Roros - Storen,1503317770,1503317798,89470000160204125984,28,11.199432849884033,24201,24201,2,0,0,0,2,2,0,-73.0,-71.0,-71.0,-47,-40,-47.0,12,0,24061.2297
5,290,89470000160204125984,1503576974.0,1503577002.0,59.955923,11.054947,84.266,18527.512028999998,18497.708177,40788452,63355022,2,4,451,59.953584854545404,11.056507432727301,Oslo - Roros - Storen,1503576974,1503577002,89470000160204125984,28,10.915294408798218,24201,24201,2,0,0,0,2,2,0,-89.0,-75.0,-75.0,-57,-45,-47.0,12,3,18527.512028999998
6,450,89470000160204053434,1515664871.0,1515664903.0,59.954865000000005,11.052185,39.818,6568.69115833499,10226.404498972734,40849040,40452911,2,4,451,59.953584854545404,11.056507432727301,Oslo - Roros - Storen,1515664871,1515664903,89470000160204053434,32,11.733886957168579,24201,24201,1,0,0,0,2,2,0,-88.0,-76.0,-88.0,-58,-51,-58.0,10,3,6568.69115833499
7,450,8947080038000093143,1516788113.0,1516788141.0,59.955865,11.055168,40.0032,3925.006921314295,2840.4725784870857,29794283,26167472,2,4,451,59.953584854545404,11.056507432727301,Oslo - Roros - Storen,1516788113,1516788141,8947080038000093143,28,10.492732524871826,24202,24202,2,0,0,0,0,1,0,,,,-76,-74,-74.0,10,2,3925.006921314295
8,451,89470715000001455414,1515708070.0,1515708097.0,59.955505,11.054138,42.596,11730.295997737938,9965.22044915852,40767971,24639766,2,4,451,59.953584854545404,11.056507432727301,Oslo - Roros - Storen,1515708070,1515708097,89470715000001455414,27,10.33203935623169,24214,24214,0,0,0,0,2,1,0,-100.0,-94.0,-99.0,-71,-66,-66.0,22,3,11730.295997737938
9,456,8947080038000093127,1501676175.0,1501676202.0,59.953602000000004,11.05746,61.116,16330.949303,8493.662887,60666461,39928808,2,4,451,59.953584854545404,11.056507432727301,Oslo - Roros - Storen,1501676175,1501676202,8947080038000093127,27,10.657052040100098,24202,24202,1,0,0,0,2,2,0,-113.0,-109.0,-112.0,-81,-75,-79.5,12,2,16330.949303
