,ts_start,ts_end,nodeid,iccid,total_measurement_duration,dl_test_duration,imsimccmnc,nwmccmnc,cid_changes,enodebid_changes,devicemode_changes,devicesubmode_changes,rsrp_changes,rssi_changes,lac_changes,min_rsrp,max_rsrp,median_rsrp,min_rssi,max_rssi,median_rssi,hour_of_day,day_of_week,res_dl_kbps
3067,1506950425,1506950452,366,89470000160204126289,27,10.642979383468626,24201,24201,0,0,0,0,0,0,0,-96.0,-96.0,-96.0,-69,-69,-69.0,13,0,31701.378305000002
3107,1507123221,1507123249,366,89470000160204126289,28,10.506946086883543,24201,24201,0,0,0,0,1,1,0,-93.0,-92.0,-93.0,-68,-66,-68.0,13,2,31449.75183
3233,1507123159,1507123189,366,8947080038000093234,30,11.059960126876831,24202,24202,0,0,0,0,1,1,0,-104.0,-102.0,-104.0,-74,-72,-72.0,13,2,37258.15407
5169,1507987148,1507987180,456,89470000160204125521,32,10.721787214279177,24201,24201,0,0,0,0,0,2,0,,,,-93,-89,-91.0,13,5,19327.09191838269
5174,1506950352,1506950378,456,89470000160204125521,26,10.335080385208132,24201,24201,0,0,0,0,1,1,0,-107.0,-106.0,-106.0,-77,-75,-75.0,13,0,60006.459441
5302,1506950403,1506950429,456,8947080038000093127,26,10.343776464462278,24202,24202,0,0,0,0,0,1,0,-101.0,-101.0,-101.0,-75,-72,-73.5,13,0,96722.665874
5426,1508592078,1508592104,456,8947080038000093127,26,10.493334054946901,24202,24202,0,0,0,0,0,1,0,-92.0,-92.0,-92.0,-65,-61,-65.0,13,5,61743.96773719526
5434,1507987199,1507987240,456,8947080038000093127,41,11.38156795501709,24202,24202,0,0,0,0,0,3,0,,,,-92,-80,-89.0,13,5,9646.064969768891
7134,1506605179,1506605211,553,89470715000001462816,32,10.602450370788574,24214,24214,0,0,0,0,0,0,0,-106.0,-106.0,-106.0,-73,-73,-73.0,13,3,25968.868573
7142,1506432373,1506432420,553,89470715000001462816,47,10.94294500350952,24214,24214,0,0,0,0,0,0,0,-107.0,-107.0,-107.0,-74,-74,-74.0,13,1,18880.127985
7154,1506777973,1506778008,553,89470715000001462816,35,11.68835973739624,24214,24214,0,0,0,0,0,1,0,-99.0,-99.0,-99.0,-74,-69,-71.5,13,5,3123.8264870000003
7163,1506518773,1506518809,553,89470715000001462816,36,11.094709157943726,24214,24214,0,0,0,0,0,1,0,-107.0,-107.0,-107.0,-80,-75,-77.5,13,2,21543.05177
