,ts_start,ts_end,nodeid,iccid,total_measurement_duration,dl_test_duration,imsimccmnc,nwmccmnc,cid_changes,enodebid_changes,devicemode_changes,devicesubmode_changes,rsrp_changes,rssi_changes,lac_changes,min_rsrp,max_rsrp,median_rsrp,min_rssi,max_rssi,median_rssi,hour_of_day,day_of_week,res_dl_kbps
3059,1507101553,1507101594,366,89470000160204126289,41,19.567805290222168,24201,24201,0,0,0,0,4,1,0,-110.0,-103.0,-107.0,-78,-72,-78.0,7,2,3666.468639
3100,1507965678,1507965707,366,89470000160204126289,29,11.059409379959106,24201,24201,0,0,0,0,2,2,0,-106.0,-98.0,-105.0,-77,-67,-74.0,7,5,10335.09289886592
3166,1506928893,1506928919,366,8947080038000093234,26,10.966249465942383,24202,24202,0,0,0,0,0,2,0,,,,-73,-68,-70.0,7,0,59504.506587
3229,1507015152,1507015190,366,8947080038000093234,38,11.193581342697144,24202,24202,0,0,0,0,0,4,0,,,,-111,-85,-96.0,7,1,24566.679034
5150,1507965729,1507965757,456,89470000160204125521,28,10.869173765182495,24201,24201,1,0,0,0,2,1,0,-95.0,-83.0,-85.5,-64,-62,-62.0,7,5,10361.849675774
5152,1507101610,1507101636,456,89470000160204125521,26,10.476896286010742,24201,24201,0,0,0,0,0,1,0,-70.0,-70.0,-70.0,-46,-43,-46.0,7,2,82502.259597
5225,1508570347,1508570373,456,89470000160204125521,26,10.222865581512453,24201,24201,0,0,0,0,1,0,0,-109.0,-108.0,-108.5,-79,-79,-79.0,7,5,78403.65669479508
5310,1507101553,1507101586,456,8947080038000093127,33,15.002827644348145,24202,24202,2,0,0,0,3,3,0,-105.0,-92.0,-93.5,-72,-63,-65.0,7,2,6416.493314
5326,1508570401,1508570428,456,8947080038000093127,27,11.344204902648926,24202,24202,0,0,0,0,0,0,0,-92.0,-92.0,-92.0,-65,-65,-65.0,7,5,26238.524690905342
5399,1506928873,1506928899,456,8947080038000093127,26,10.42999792098999,24202,24202,0,0,0,0,0,1,0,-98.0,-98.0,-98.0,-73,-69,-71.0,7,0,76279.362816
7111,1506497172,1506497208,553,89470715000001462816,36,11.176197052001953,24214,24214,0,0,0,0,1,1,0,-107.0,-106.0,-106.5,-80,-74,-77.0,7,2,14275.091793000001
7112,1506583573,1506583607,553,89470715000001462816,34,10.9141104221344,24214,24214,0,0,0,0,0,0,0,-107.0,-107.0,-107.0,-74,-74,-74.0,7,3,15068.233828
7167,1506756373,1506756405,553,89470715000001462816,32,10.679826736450195,24214,24214,0,0,0,0,0,0,0,-98.0,-98.0,-98.0,-68,-68,-68.0,7,5,6420.200829
7363,1505028373,1505028409,555,89470715000001455521,36,11.952646732330322,24214,24214,0,0,0,0,0,1,0,-97.0,-97.0,-97.0,-71,-67,-69.0,7,6,2028.5341429999999
7587,1505028373,1505028407,557,89470715000000631742,34,12.214657068252563,24214,24214,0,0,0,0,0,0,0,-99.0,-99.0,-99.0,-69,-69,-69.0,7,6,1867.813046
7841,1506410772,1506410806,559,89470715000001455349,34,10.896733522415161,24214,24214,0,0,0,0,0,1,0,-109.0,-109.0,-109.0,-80,-76,-78.0,7,1,13897.429324
7847,1506497172,1506497207,559,89470715000001455349,35,11.259466171264648,24214,24214,0,0,0,0,0,0,0,-109.0,-109.0,-109.0,-77,-77,-77.0,7,2,8585.074948000001
7855,1506583573,1506583608,559,89470715000001455349,35,11.027199029922485,24214,24214,0,0,0,0,0,0,0,-108.0,-108.0,-108.0,-76,-76,-76.0,7,3,10032.604009
7895,1506756435,1506756467,560,89470000140724063980,32,12.91413164138794,24201,24201,0,0,0,0,0,1,0,-94.0,-94.0,-94.0,-68,-66,-67.0,7,5,13835.992199
7908,1506410828,1506410866,560,89470000140724063980,38,13.097758054733276,24201,24201,0,0,0,0,0,1,0,-111.0,-111.0,-111.0,-81,-79,-80.0,7,1,10872.668154
7965,1506497231,1506497259,560,89470000140724063980,28,11.151708126068117,24201,24201,0,0,0,0,0,1,0,-110.0,-110.0,-110.0,-81,-79,-81.0,7,2,32537.564162
7998,1506497172,1506497203,560,8947080038000121811,31,14.427068948745728,24202,24202,0,0,0,0,1,1,0,-81.0,-80.0,-81.0,-52,-50,-52.0,7,2,4728.204227
8032,1506756378,1506756409,560,8947080038000121811,31,13.642186164855955,24202,24202,0,0,0,0,0,1,0,-80.0,-80.0,-80.0,-53,-51,-52.0,7,5,4755.4788770000005
8054,1506410772,1506410805,560,8947080038000121811,33,15.142520904541016,24202,24202,0,0,0,0,0,1,0,-80.0,-80.0,-80.0,-54,-52,-52.0,7,1,5164.119304
8139,1506583573,1506583605,561,89470715000001455448,32,10.912537336349487,24214,24214,0,0,0,0,0,0,0,-107.0,-107.0,-107.0,-75,-75,-75.0,7,3,14363.478963
8143,1506497174,1506497207,561,89470715000001455448,33,10.881008863449097,24214,24214,0,0,0,0,0,0,0,-107.0,-107.0,-107.0,-75,-75,-75.0,7,2,10968.305676
8146,1506410773,1506410805,561,89470715000001455448,32,10.97026777267456,24214,24214,0,0,0,0,0,1,0,-108.0,-108.0,-108.0,-79,-75,-77.0,7,1,17458.695915
8306,1506497173,1506497204,563,89470715000001462717,31,11.036803722381592,24214,24214,0,0,0,0,0,1,0,-106.0,-106.0,-106.0,-80,-74,-77.0,7,2,14047.46191
