,ts_start,ts_end,nodeid,iccid,total_measurement_duration,dl_test_duration,imsimccmnc,nwmccmnc,cid_changes,enodebid_changes,devicemode_changes,devicesubmode_changes,rsrp_changes,rssi_changes,lac_changes,min_rsrp,max_rsrp,median_rsrp,min_rssi,max_rssi,median_rssi,hour_of_day,day_of_week,res_dl_kbps
5008,1508008748,1508008781,456,89470000160204125521,33,10.928837299346924,24201,24201,0,0,0,0,1,0,0,-84.0,-83.0,-83.5,-59,-59,-59.0,19,5,20269.74789823881
5103,1506971952,1506971977,456,89470000160204125521,25,10.179911136627195,24201,24201,0,0,0,0,0,1,0,-92.0,-92.0,-92.0,-64,-62,-62.0,19,0,60595.400979
5158,1507144808,1507144842,456,89470000160204125521,34,12.47157073020935,24201,24201,0,0,0,0,0,2,0,-89.0,-89.0,-89.0,-62,-60,-62.0,19,2,12407.64952
5261,1508613619,1508613645,456,8947080038000093127,26,10.557926893234251,24202,24202,0,0,0,0,0,3,0,-92.0,-92.0,-92.0,-65,-61,-64.0,19,5,68190.55940378264
5384,1508008800,1508008837,456,8947080038000093127,37,12.553667068481445,24202,24202,0,0,0,0,0,4,0,,,,-87,-65,-82.0,19,5,20526.444573147408
5430,1507144751,1507144778,456,8947080038000093127,27,10.655209064483644,24202,24202,0,0,0,0,3,1,0,-107.0,-102.0,-104.5,-80,-77,-77.0,19,2,78361.285177
5449,1506972003,1506972029,456,8947080038000093127,26,10.378331422805788,24202,24202,0,0,0,0,0,0,0,-92.0,-92.0,-92.0,-61,-61,-61.0,19,0,99454.558428
7108,1506540374,1506540407,553,89470715000001462816,33,10.410956859588623,24214,24214,0,0,0,0,0,0,0,-107.0,-107.0,-107.0,-75,-75,-75.0,19,2,15012.2578
7138,1506799579,1506799613,553,89470715000001462816,34,10.316105604171751,24214,24214,0,0,0,0,0,0,0,-98.0,-98.0,-98.0,-68,-68,-68.0,19,5,5821.229321
7152,1506453972,1506454007,553,89470715000001462816,35,10.864442586898804,24214,24214,0,0,0,0,1,1,0,-107.0,-106.0,-106.5,-79,-74,-76.5,19,1,12837.523323000001
